t,E,p1,p2,p3,L1,L2,L3
0,-3.78974e+28,-486251,7.50966e+25,0,0,0,2.88371e+34
805.469,-3.78974e+28,1.00413e+07,7.50966e+25,0,0,0,2.88371e+34
1610.94,-3.78974e+28,7.05344e+07,7.50966e+25,0,0,0,2.88371e+34
2416.41,-3.78974e+28,-2.14115e+08,7.50966e+25,0,0,0,2.88371e+34
3221.88,-3.78974e+28,-2.61588e+08,7.50966e+25,0,0,0,2.88371e+34
4027.34,-3.78974e+28,4.14965e+08,7.50966e+25,0,0,0,2.88371e+34
4832.81,-3.78974e+28,-1.46422e+06,7.50966e+25,0,0,0,2.88371e+34
5638.28,-3.78974e+28,5.04699e+08,7.50966e+25,0,0,0,2.88371e+34
6443.75,-3.78974e+28,3.25935e+08,7.50966e+25,0,0,0,2.88371e+34
7249.22,-3.78974e+28,-1.32445e+08,7.50966e+25,0,0,0,2.88371e+34
8054.69,-3.78974e+28,-1.40521e+09,7.50966e+25,0,0,0,2.88371e+34
8860.16,-3.78974e+28,-2.69506e+08,7.50966e+25,0,0,0,2.88371e+34
9665.63,-3.78974e+28,-1.82434e+09,7.50966e+25,0,0,0,2.88371e+34
10471.1,-3.78974e+28,-3.92125e+09,7.50966e+25,0,0,0,2.88371e+34
11276.6,-3.78974e+28,-5.75412e+09,7.50966e+25,0,0,0,2.88371e+34
12082,-3.78974e+28,-6.51704e+09,7.50966e+25,0,0,0,2.88371e+34
12887.5,-3.78974e+28,-2.18294e+09,7.50966e+25,0,0,0,2.88371e+34
13693,-3.78974e+28,-2.68354e+09,7.50966e+25,0,0,0,2.88371e+34
14498.4,-3.78974e+28,-1.57602e+09,7.50966e+25,0,0,0,2.88371e+34
15303.9,-3.78974e+28,-4.70713e+08,7.50966e+25,0,0,0,2.88371e+34
16109.4,-3.78974e+28,-2.5886e+09,7.50966e+25,0,0,0,2.88371e+34
16914.8,-3.78974e+28,-2.02388e+09,7.50966e+25,0,0,0,2.88371e+34
17720.3,-3.78974e+28,1.76048e+09,7.50966e+25,0,0,0,2.88371e+34
18525.8,-3.78974e+28,3.39593e+09,7.50966e+25,0,0,0,2.88371e+34
19331.3,-3.78974e+28,5.03009e+09,7.50966e+25,0,0,0,2.88371e+34
20136.7,-3.78974e+28,7.73681e+09,7.50966e+25,0,0,0,2.88371e+34
20942.2,-3.78974e+28,5.07375e+09,7.50966e+25,0,0,0,2.88371e+34
21747.7,-3.78974e+28,4.02032e+09,7.50966e+25,0,0,0,2.88371e+34
22553.1,-3.78974e+28,3.50285e+09,7.50966e+25,0,0,0,2.88371e+34
23358.6,-3.78974e+28,5.66891e+09,7.50966e+25,0,0,0,2.88371e+34
24164.1,-3.78974e+28,6.76045e+09,7.50966e+25,0,0,0,2.88371e+34
24969.5,-3.78974e+28,3.01943e+09,7.50966e+25,0,0,0,2.88371e+34
25775,-3.78974e+28,4.10959e+09,7.50966e+25,0,0,0,2.88371e+34
26580.5,-3.78974e+28,5.19913e+09,7.50966e+25,0,0,0,2.88371e+34
27385.9,-3.78974e+28,-1.54356e+08,7.50966e+25,0,0,0,2.88371e+34
28191.4,-3.78974e+28,2.00781e+09,7.50966e+25,0,0,0,2.88371e+34
28996.9,-3.78974e+28,-4.42047e+09,7.50966e+25,0,0,0,2.88371e+34
29802.4,-3.78974e+28,2.03568e+09,7.50966e+25,0,0,0,2.88371e+34
30607.8,-3.78974e+28,-5.46726e+09,7.50966e+25,0,0,0,2.88371e+34
31413.3,-3.78974e+28,-9.7494e+09,7.50966e+25,0,0,0,2.88371e+34
32218.8,-3.78974e+28,-1.29582e+10,7.50966e+25,0,0,0,2.88371e+34
33024.2,-3.78974e+28,-1.29461e+10,7.50966e+25,0,0,0,2.88371e+34
33829.7,-3.78974e+28,-1.83031e+10,7.50966e+25,0,0,0,2.88371e+34
34635.2,-3.78974e+28,-1.18493e+10,7.50966e+25,0,0,0,2.88371e+34
35440.6,-3.78974e+28,-2.17459e+09,7.50966e+25,0,0,0,2.88371e+34
36246.1,-3.78974e+28,-5.38506e+09,7.50966e+25,0,0,0,2.88371e+34
37051.6,-3.78974e+28,-4.30086e+09,7.50966e+25,0,0,0,2.88371e+34
37857,-3.78974e+28,5.373e+09,7.50966e+25,0,0,0,2.88371e+34
38662.5,-3.78974e+28,9.6779e+09,7.50966e+25,0,0,0,2.88371e+34
39468,-3.78974e+28,2.17138e+09,7.50966e+25,0,0,0,2.88371e+34
40273.4,-3.78974e+28,3.33426e+07,7.50966e+25,0,0,0,2.88371e+34
41078.9,-3.78974e+28,-3.17867e+09,7.50966e+25,0,0,0,2.88371e+34
41884.4,-3.78974e+28,5.15571e+07,7.50966e+25,0,0,0,2.88371e+34
42689.9,-3.78974e+28,-8.52959e+09,7.50966e+25,0,0,0,2.88371e+34
43495.3,-3.78974e+28,-1.49634e+10,7.50966e+25,0,0,0,2.88371e+34
44300.8,-3.78974e+28,-2.13975e+10,7.50966e+25,0,0,0,2.88371e+34
45106.3,-3.78974e+28,-2.03155e+10,7.50966e+25,0,0,0,2.88371e+34
45911.7,-3.78974e+28,-1.70863e+10,7.50966e+25,0,0,0,2.88371e+34
46717.2,-3.78974e+28,-1.92259e+10,7.50966e+25,0,0,0,2.88371e+34
47522.7,-3.78974e+28,-2.56606e+10,7.50966e+25,0,0,0,2.88371e+34
48328.1,-3.78974e+28,-1.38419e+10,7.50966e+25,0,0,0,2.88371e+34
49133.6,-3.78974e+28,-1.1687e+10,7.50966e+25,0,0,0,2.88371e+34
49939.1,-3.78974e+28,-1.38272e+10,7.50966e+25,0,0,0,2.88371e+34
50744.5,-3.78974e+28,-1.16726e+10,7.50966e+25,0,0,0,2.88371e+34
51550,-3.78974e+28,-1.16656e+10,7.50966e+25,0,0,0,2.88371e+34
52355.5,-3.78974e+28,-2.45436e+10,7.50966e+25,0,0,0,2.88371e+34
53161,-3.78974e+28,-3.09794e+10,7.50966e+25,0,0,0,2.88371e+34
53966.4,-3.78974e+28,-3.31202e+10,7.50966e+25,0,0,0,2.88371e+34
54771.9,-3.78974e+28,-3.52612e+10,7.50966e+25,0,0,0,2.88371e+34
55577.4,-3.78974e+28,-3.74023e+10,7.50966e+25,0,0,0,2.88371e+34
56382.8,-3.78974e+28,-2.45111e+10,7.50966e+25,0,0,0,2.88371e+34
57188.3,-3.78974e+28,-2.66524e+10,7.50966e+25,0,0,0,2.88371e+34
57993.8,-3.78974e+28,-2.02039e+10,7.50966e+25,0,0,0,2.88371e+34
58799.2,-3.78974e+28,-8.70582e+08,7.50966e+25,0,0,0,2.88371e+34
59604.7,-3.78974e+28,-9.45464e+09,7.50966e+25,0,0,0,2.88371e+34
60410.2,-3.78974e+28,-3.00641e+09,7.50966e+25,0,0,0,2.88371e+34
61215.6,-3.78974e+28,-2.6623e+10,7.50966e+25,0,0,0,2.88371e+34
62021.1,-3.78974e+28,-3.73548e+10,7.50966e+25,0,0,0,2.88371e+34
62826.6,-3.78974e+28,-3.52018e+10,7.50966e+25,0,0,0,2.88371e+34
63632.1,-3.78974e+28,-2.8754e+10,7.50966e+25,0,0,0,2.88371e+34
64437.5,-3.78974e+28,-3.30436e+10,7.50966e+25,0,0,0,2.88371e+34
65243,-3.78974e+28,-2.44484e+10,7.50966e+25,0,0,0,2.88371e+34
66048.5,-3.78974e+28,-2.44432e+10,7.50966e+25,0,0,0,2.88371e+34
66853.9,-3.78974e+28,-2.4438e+10,7.50966e+25,0,0,0,2.88371e+34
67659.4,-3.78974e+28,-2.65805e+10,7.50966e+25,0,0,0,2.88371e+34
68464.9,-3.78974e+28,-1.15431e+10,7.50966e+25,0,0,0,2.88371e+34
69270.3,-3.78974e+28,-9.39068e+09,7.50966e+25,0,0,0,2.88371e+34
70075.8,-3.78974e+28,-9.38582e+09,7.50966e+25,0,0,0,2.88371e+34
70881.3,-3.78974e+28,-1.58235e+10,7.50966e+25,0,0,0,2.88371e+34
71686.7,-3.78974e+28,-2.44087e+10,7.50966e+25,0,0,0,2.88371e+34
72492.2,-3.78974e+28,-2.01091e+10,7.50966e+25,0,0,0,2.88371e+34
73297.7,-3.78974e+28,-1.7957e+10,7.50966e+25,0,0,0,2.88371e+34
74103.1,-3.78974e+28,-2.43949e+10,7.50966e+25,0,0,0,2.88371e+34
74908.6,-3.78974e+28,-2.43904e+10,7.50966e+25,0,0,0,2.88371e+34
75714.1,-3.78974e+28,-2.65334e+10,7.50966e+25,0,0,0,2.88371e+34
76519.6,-3.78974e+28,-3.72665e+10,7.50966e+25,0,0,0,2.88371e+34
77325,-3.78974e+28,-3.72622e+10,7.50966e+25,0,0,0,2.88371e+34
78130.5,-3.78974e+28,-4.79953e+10,7.50966e+25,0,0,0,2.88371e+34
78936,-3.78974e+28,-5.2286e+10,7.50966e+25,0,0,0,2.88371e+34
79741.4,-3.78974e+28,-4.58394e+10,7.50966e+25,0,0,0,2.88371e+34
80546.9,-3.78974e+28,-5.65727e+10,7.50966e+25,0,0,0,2.88371e+34
81352.4,-3.78974e+28,-6.08636e+10,7.50966e+25,0,0,0,2.88371e+34
82157.8,-3.78974e+28,-6.3007e+10,7.50966e+25,0,0,0,2.88371e+34
82963.3,-3.78974e+28,-7.80354e+10,7.50966e+25,0,0,0,2.88371e+34
83768.8,-3.78974e+28,-7.80315e+10,7.50966e+25,0,0,0,2.88371e+34
84574.2,-3.78974e+28,-6.94376e+10,7.50966e+25,0,0,0,2.88371e+34
85379.7,-3.78974e+28,-6.51388e+10,7.50966e+25,0,0,0,2.88371e+34
86185.2,-3.78974e+28,-8.44624e+10,7.50966e+25,0,0,0,2.88371e+34
86990.7,-3.78974e+28,-7.58686e+10,7.50966e+25,0,0,0,2.88371e+34
87796.1,-3.78974e+28,-7.37174e+10,7.50966e+25,0,0,0,2.88371e+34
88601.6,-3.78974e+28,-4.79439e+10,7.50966e+25,0,0,0,2.88371e+34
89407.1,-3.78974e+28,-7.15626e+10,7.50966e+25,0,0,0,2.88371e+34
90212.5,-3.78974e+28,-6.94115e+10,7.50966e+25,0,0,0,2.88371e+34
91018,-3.78974e+28,-7.15554e+10,7.50966e+25,0,0,0,2.88371e+34
91823.5,-3.78974e+28,-7.36993e+10,7.50966e+25,0,0,0,2.88371e+34
92628.9,-3.78974e+28,-7.36958e+10,7.50966e+25,0,0,0,2.88371e+34
93434.4,-3.78974e+28,-7.36923e+10,7.50966e+25,0,0,0,2.88371e+34
94239.9,-3.78974e+28,-8.22788e+10,7.50966e+25,0,0,0,2.88371e+34
95045.3,-3.78974e+28,-8.44228e+10,7.50966e+25,0,0,0,2.88371e+34
95850.8,-3.78974e+28,-9.30094e+10,7.50966e+25,0,0,0,2.88371e+34
96656.3,-3.78974e+28,-7.58261e+10,7.50966e+25,0,0,0,2.88371e+34
97461.7,-3.78974e+28,-8.01178e+10,7.50966e+25,0,0,0,2.88371e+34
98267.2,-3.78974e+28,-9.94419e+10,7.50966e+25,0,0,0,2.88371e+34
99072.7,-3.78974e+28,-7.36688e+10,7.50966e+25,0,0,0,2.88371e+34
99878.2,-3.78974e+28,-1.08025e+11,7.50966e+25,0,0,0,2.88371e+34
100684,-3.78974e+28,-9.51372e+10,7.50966e+25,0,0,0,2.88371e+34
101489,-3.78974e+28,-9.5134e+10,7.50966e+25,0,0,0,2.88371e+34
102295,-3.78974e+28,-7.3656e+10,7.50966e+25,0,0,0,2.88371e+34
103100,-3.78974e+28,-4.78831e+10,7.50966e+25,0,0,0,2.88371e+34
103906,-3.78974e+28,-5.64699e+10,7.50966e+25,0,0,0,2.88371e+34
104711,-3.78974e+28,-5.64669e+10,7.50966e+25,0,0,0,2.88371e+34
105516,-3.78974e+28,-6.07588e+10,7.50966e+25,0,0,0,2.88371e+34
