t,E,p1,p2,p3,L1,L2,L3
0,-2.6513e+33,65466.4,1.77846e+29,0,0,0,2.66058e+40
8054.69,-2.6513e+33,42229.1,1.77846e+29,0,0,0,2.66058e+40
16109.4,-2.6513e+33,7.98735e+07,1.77846e+29,0,0,0,2.66058e+40
24164.1,-2.6513e+33,-8.30103e+07,1.77846e+29,0,0,0,2.66058e+40
32218.7,-2.6513e+33,-4.19186e+07,1.77846e+29,0,0,0,2.66058e+40
40273.4,-2.6513e+33,3.60528e+08,1.77846e+29,0,0,0,2.66058e+40
48328.1,-2.6513e+33,3.39755e+08,1.77846e+29,0,0,0,2.66058e+40
56382.8,-2.6513e+33,-4.16404e+08,1.77846e+29,0,0,0,2.66058e+40
64437.5,-2.6513e+33,2.57166e+08,1.77846e+29,0,0,0,2.66058e+40
72492.2,-2.6513e+33,7.62834e+08,1.77846e+29,0,0,0,2.66058e+40
80546.9,-2.6513e+33,1.42254e+09,1.77846e+29,0,0,0,2.66058e+40
88601.6,-2.6513e+33,6.3713e+08,1.77846e+29,0,0,0,2.66058e+40
96656.2,-2.6513e+33,3.28053e+08,1.77846e+29,0,0,0,2.66058e+40
104711,-2.6513e+33,-1.26449e+09,1.77846e+29,0,0,0,2.66058e+40
112766,-2.6513e+33,-2.85963e+09,1.77846e+29,0,0,0,2.66058e+40
120820,-2.6513e+33,-4.77705e+09,1.77846e+29,0,0,0,2.66058e+40
128875,-2.6513e+33,-4.13564e+09,1.77846e+29,0,0,0,2.66058e+40
136930,-2.6513e+33,-4.7762e+09,1.77846e+29,0,0,0,2.66058e+40
144984,-2.6513e+33,-2.85746e+09,1.77846e+29,0,0,0,2.66058e+40
153039,-2.6513e+33,-2.2203e+09,1.77846e+29,0,0,0,2.66058e+40
161094,-2.6513e+33,-1.90432e+09,1.77846e+29,0,0,0,2.66058e+40
169148,-2.6513e+33,-3.08948e+08,1.77846e+29,0,0,0,2.66058e+40
177203,-2.6513e+33,3.52617e+09,1.77846e+29,0,0,0,2.66058e+40
185258,-2.6513e+33,4.79982e+09,1.77846e+29,0,0,0,2.66058e+40
193312,-2.6513e+33,6.07277e+09,1.77846e+29,0,0,0,2.66058e+40
201367,-2.6513e+33,7.98526e+09,1.77846e+29,0,0,0,2.66058e+40
209422,-2.6513e+33,1.05374e+10,1.77846e+29,0,0,0,2.66058e+40
217477,-2.6513e+33,1.30889e+10,1.77846e+29,0,0,0,2.66058e+40
225531,-2.6513e+33,1.69204e+10,1.77846e+29,0,0,0,2.66058e+40
233586,-2.6513e+33,1.88309e+10,1.77846e+29,0,0,0,2.66058e+40
241641,-2.6513e+33,2.39419e+10,1.77846e+29,0,0,0,2.66058e+40
249695,-2.6513e+33,2.20105e+10,1.77846e+29,0,0,0,2.66058e+40
257750,-2.6513e+33,2.58405e+10,1.77846e+29,0,0,0,2.66058e+40
265805,-2.6513e+33,3.15906e+10,1.77846e+29,0,0,0,2.66058e+40
273859,-2.6513e+33,3.15789e+10,1.77846e+29,0,0,0,2.66058e+40
281914,-2.6513e+33,2.90062e+10,1.77846e+29,0,0,0,2.66058e+40
289969,-2.6513e+33,3.15547e+10,1.77846e+29,0,0,0,2.66058e+40
298023,-2.6513e+33,2.96217e+10,1.77846e+29,0,0,0,2.66058e+40
306078,-2.6513e+33,2.76885e+10,1.77846e+29,0,0,0,2.66058e+40
314133,-2.6513e+33,2.70355e+10,1.77846e+29,0,0,0,2.66058e+40
