t,E,p1,p2,p3,L1,L2,L3
0,-3.78974e+28,63.0004,7.50966e+25,0,0,0,2.88371e+34
805.469,-3.78974e+28,-14094.1,7.50966e+25,0,0,0,2.88371e+34
1610.94,-3.78974e+28,-19599.5,7.50966e+25,0,0,0,2.88371e+34
2416.41,-3.78974e+28,80718.3,7.50966e+25,0,0,0,2.88371e+34
3221.87,-3.78974e+28,-53357,7.50966e+25,0,0,0,2.88371e+34
4027.34,-3.78974e+28,20285.7,7.50966e+25,0,0,0,2.88371e+34
4832.81,-3.78974e+28,272577,7.50966e+25,0,0,0,2.88371e+34
5638.28,-3.78974e+28,707760,7.50966e+25,0,0,0,2.88371e+34
6443.75,-3.78974e+28,744777,7.50966e+25,0,0,0,2.88371e+34
7249.22,-3.78974e+28,1.16797e+06,7.50966e+25,0,0,0,2.88371e+34
8054.69,-3.78974e+28,1.88971e+06,7.50966e+25,0,0,0,2.88371e+34
8860.16,-3.78974e+28,1.95949e+06,7.50966e+25,0,0,0,2.88371e+34
9665.62,-3.78974e+28,1.93865e+06,7.50966e+25,0,0,0,2.88371e+34
10471.1,-3.78974e+28,2.81838e+06,7.50966e+25,0,0,0,2.88371e+34
11276.6,-3.78974e+28,2.41478e+06,7.50966e+25,0,0,0,2.88371e+34
12082,-3.78974e+28,2.6084e+06,7.50966e+25,0,0,0,2.88371e+34
12887.5,-3.78974e+28,2.50392e+06,7.50966e+25,0,0,0,2.88371e+34
13693,-3.78974e+28,1.27035e+06,7.50966e+25,0,0,0,2.88371e+34
14498.4,-3.78974e+28,1.44318e+06,7.50966e+25,0,0,0,2.88371e+34
15303.9,-3.78974e+28,-281832,7.50966e+25,0,0,0,2.88371e+34
16109.4,-3.78974e+28,-1.94053e+06,7.50966e+25,0,0,0,2.88371e+34
16914.8,-3.78974e+28,895185,7.50966e+25,0,0,0,2.88371e+34
17720.3,-3.78974e+28,276298,7.50966e+25,0,0,0,2.88371e+34
18525.8,-3.78974e+28,-205162,7.50966e+25,0,0,0,2.88371e+34
