t,E,p1,p2,p3,L1,L2,L3
0,-2.6513e+33,394676,1.77846e+29,0,0,0,2.66058e+40
8054.69,-2.6513e+33,5.76977e+07,1.77846e+29,0,0,0,2.66058e+40
16109.4,-2.6513e+33,-8.61978e+07,1.77846e+29,0,0,0,2.66058e+40
24164.1,-2.6513e+33,1.48647e+08,1.77846e+29,0,0,0,2.66058e+40
32218.7,-2.6513e+33,2.78486e+07,1.77846e+29,0,0,0,2.66058e+40
40273.4,-2.6513e+33,2.8633e+07,1.77846e+29,0,0,0,2.66058e+40
48328.1,-2.6513e+33,-6.33682e+08,1.77846e+29,0,0,0,2.66058e+40
56382.8,-2.6513e+33,-1.07099e+09,1.77846e+29,0,0,0,2.66058e+40
64437.5,-2.6513e+33,-2.47913e+09,1.77846e+29,0,0,0,2.66058e+40
72492.2,-2.6513e+33,-2.61472e+09,1.77846e+29,0,0,0,2.66058e+40
80546.9,-2.6513e+33,-2.27612e+09,1.77846e+29,0,0,0,2.66058e+40
88601.6,-2.6513e+33,-2.58237e+09,1.77846e+29,0,0,0,2.66058e+40
96656.2,-2.6513e+33,-3.21247e+09,1.77846e+29,0,0,0,2.66058e+40
104711,-2.6513e+33,-4.48584e+09,1.77846e+29,0,0,0,2.66058e+40
112766,-2.6513e+33,-5.44169e+09,1.77846e+29,0,0,0,2.66058e+40
120820,-2.6513e+33,-7.03989e+09,1.77846e+29,0,0,0,2.66058e+40
128875,-2.6513e+33,-7.3596e+09,1.77846e+29,0,0,0,2.66058e+40
136930,-2.6513e+33,-8.00099e+09,1.77846e+29,0,0,0,2.66058e+40
144984,-2.6513e+33,-9.92413e+09,1.77846e+29,0,0,0,2.66058e+40
153039,-2.6513e+33,-1.18485e+10,1.77846e+29,0,0,0,2.66058e+40
161094,-2.6513e+33,-1.08931e+10,1.77846e+29,0,0,0,2.66058e+40
169148,-2.6513e+33,-1.05789e+10,1.77846e+29,0,0,0,2.66058e+40
177203,-2.6513e+33,-1.1866e+10,1.77846e+29,0,0,0,2.66058e+40
185258,-2.6513e+33,-1.31539e+10,1.77846e+29,0,0,0,2.66058e+40
193312,-2.6513e+33,-1.12416e+10,1.77846e+29,0,0,0,2.66058e+40
201367,-2.6513e+33,-8.68969e+09,1.77846e+29,0,0,0,2.66058e+40
209422,-2.6513e+33,-8.05892e+09,1.77846e+29,0,0,0,2.66058e+40
217477,-2.6513e+33,-1.12697e+10,1.77846e+29,0,0,0,2.66058e+40
225531,-2.6513e+33,-9.99978e+09,1.77846e+29,0,0,0,2.66058e+40
233586,-2.6513e+33,-1.00106e+10,1.77846e+29,0,0,0,2.66058e+40
241641,-2.6513e+33,-9.38169e+09,1.77846e+29,0,0,0,2.66058e+40
249695,-2.6513e+33,-8.75313e+09,1.77846e+29,0,0,0,2.66058e+40
257750,-2.6513e+33,-6.20439e+09,1.77846e+29,0,0,0,2.66058e+40
265805,-2.6513e+33,-3.65596e+09,1.77846e+29,0,0,0,2.66058e+40
273859,-2.6513e+33,-6.86941e+09,1.77846e+29,0,0,0,2.66058e+40
281914,-2.6513e+33,-8.80277e+09,1.77846e+29,0,0,0,2.66058e+40
289969,-2.6513e+33,-4.97481e+09,1.77846e+29,0,0,0,2.66058e+40
298023,-2.6513e+33,-8.18902e+09,1.77846e+29,0,0,0,2.66058e+40
306078,-2.6513e+33,-8.20256e+09,1.77846e+29,0,0,0,2.66058e+40
314133,-2.6513e+33,-8.21631e+09,1.77846e+29,0,0,0,2.66058e+40
322187,-2.6513e+33,-6.30972e+09,1.77846e+29,0,0,0,2.66058e+40
330242,-2.6513e+33,-7.60419e+09,1.77846e+29,0,0,0,2.66058e+40
338297,-2.6513e+33,-7.61847e+09,1.77846e+29,0,0,0,2.66058e+40
346352,-2.6513e+33,-1.65954e+10,1.77846e+29,0,0,0,2.66058e+40
354406,-2.6513e+33,-2.17313e+10,1.77846e+29,0,0,0,2.66058e+40
362461,-2.6513e+33,-2.68675e+10,1.77846e+29,0,0,0,2.66058e+40
370516,-2.6513e+33,-2.9443e+10,1.77846e+29,0,0,0,2.66058e+40
378570,-2.6513e+33,-2.56169e+10,1.77846e+29,0,0,0,2.66058e+40
386625,-2.6513e+33,-1.53891e+10,1.77846e+29,0,0,0,2.66058e+40
394680,-2.6513e+33,-1.02829e+10,1.77846e+29,0,0,0,2.66058e+40
402734,-2.6513e+33,-1.15785e+10,1.77846e+29,0,0,0,2.66058e+40
410789,-2.6513e+33,-1.15938e+10,1.77846e+29,0,0,0,2.66058e+40
418844,-2.6513e+33,-1.67307e+10,1.77846e+29,0,0,0,2.66058e+40
426898,-2.6513e+33,-1.67461e+10,1.77846e+29,0,0,0,2.66058e+40
434953,-2.6513e+33,-1.29206e+10,1.77846e+29,0,0,0,2.66058e+40
443008,-2.6513e+33,-1.9338e+10,1.77846e+29,0,0,0,2.66058e+40
451062,-2.6513e+33,-2.44751e+10,1.77846e+29,0,0,0,2.66058e+40
459117,-2.6513e+33,-2.32105e+10,1.77846e+29,0,0,0,2.66058e+40
467172,-2.6513e+33,-1.68245e+10,1.77846e+29,0,0,0,2.66058e+40
475227,-2.6513e+33,-1.9401e+10,1.77846e+29,0,0,0,2.66058e+40
483281,-2.6513e+33,-1.81365e+10,1.77846e+29,0,0,0,2.66058e+40
491336,-2.6513e+33,-2.71148e+10,1.77846e+29,0,0,0,2.66058e+40
499391,-2.6513e+33,-2.84111e+10,1.77846e+29,0,0,0,2.66058e+40
507445,-2.6513e+33,-3.22681e+10,1.77846e+29,0,0,0,2.66058e+40
515500,-2.6513e+33,-4.38072e+10,1.77846e+29,0,0,0,2.66058e+40
523555,-2.6513e+33,-4.63838e+10,1.77846e+29,0,0,0,2.66058e+40
531609,-2.6513e+33,-4.76801e+10,1.77846e+29,0,0,0,2.66058e+40
539664,-2.6513e+33,-4.76961e+10,1.77846e+29,0,0,0,2.66058e+40
547719,-2.6513e+33,-4.13103e+10,1.77846e+29,0,0,0,2.66058e+40
555773,-2.6513e+33,-4.13262e+10,1.77846e+29,0,0,0,2.66058e+40
563828,-2.6513e+33,-4.13422e+10,1.77846e+29,0,0,0,2.66058e+40
571883,-2.6513e+33,-4.26385e+10,1.77846e+29,0,0,0,2.66058e+40
579937,-2.6513e+33,-4.39347e+10,1.77846e+29,0,0,0,2.66058e+40
587992,-2.6513e+33,-4.5231e+10,1.77846e+29,0,0,0,2.66058e+40
596047,-2.6513e+33,-4.65272e+10,1.77846e+29,0,0,0,2.66058e+40
604101,-2.6513e+33,-4.14216e+10,1.77846e+29,0,0,0,2.66058e+40
612156,-2.6513e+33,-4.65588e+10,1.77846e+29,0,0,0,2.66058e+40
620211,-2.6513e+33,-4.91353e+10,1.77846e+29,0,0,0,2.66058e+40
628266,-2.6513e+33,-4.9151e+10,1.77846e+29,0,0,0,2.66058e+40
636320,-2.6513e+33,-5.0447e+10,1.77846e+29,0,0,0,2.66058e+40
644375,-2.6513e+33,-4.53412e+10,1.77846e+29,0,0,0,2.66058e+40
652430,-2.6513e+33,-4.79175e+10,1.77846e+29,0,0,0,2.66058e+40
660484,-2.6513e+33,-5.1774e+10,1.77846e+29,0,0,0,2.66058e+40
668539,-2.6513e+33,-6.45929e+10,1.77846e+29,0,0,0,2.66058e+40
676594,-2.6513e+33,-5.56458e+10,1.77846e+29,0,0,0,2.66058e+40
684648,-2.6513e+33,-4.28575e+10,1.77846e+29,0,0,0,2.66058e+40
692703,-2.6513e+33,-5.31155e+10,1.77846e+29,0,0,0,2.66058e+40
700758,-2.6513e+33,-5.8252e+10,1.77846e+29,0,0,0,2.66058e+40
708812,-2.6513e+33,-6.08276e+10,1.77846e+29,0,0,0,2.66058e+40
716867,-2.6513e+33,-5.82817e+10,1.77846e+29,0,0,0,2.66058e+40
724922,-2.6513e+33,-5.82965e+10,1.77846e+29,0,0,0,2.66058e+40
732976,-2.6513e+33,-6.85539e+10,1.77846e+29,0,0,0,2.66058e+40
741031,-2.6513e+33,-6.34469e+10,1.77846e+29,0,0,0,2.66058e+40
749086,-2.6513e+33,-5.32184e+10,1.77846e+29,0,0,0,2.66058e+40
757141,-2.6513e+33,-5.32326e+10,1.77846e+29,0,0,0,2.66058e+40
765195,-2.6513e+33,-5.06859e+10,1.77846e+29,0,0,0,2.66058e+40
773250,-2.6513e+33,-4.8139e+10,1.77846e+29,0,0,0,2.66058e+40
781305,-2.6513e+33,-3.79098e+10,1.77846e+29,0,0,0,2.66058e+40
789359,-2.6513e+33,-3.53625e+10,1.77846e+29,0,0,0,2.66058e+40
797414,-2.6513e+33,-2.51329e+10,1.77846e+29,0,0,0,2.66058e+40
805469,-2.6513e+33,-3.02673e+10,1.77846e+29,0,0,0,2.66058e+40
813523,-2.6513e+33,-1.23551e+10,1.77846e+29,0,0,0,2.66058e+40
821578,-2.6513e+33,-9.80682e+09,1.77846e+29,0,0,0,2.66058e+40
829633,-2.6513e+33,-2.26225e+10,1.77846e+29,0,0,0,2.66058e+40
837687,-2.6513e+33,-2.77557e+10,1.77846e+29,0,0,0,2.66058e+40
845742,-2.6513e+33,-2.77672e+10,1.77846e+29,0,0,0,2.66058e+40
853797,-2.6513e+33,-2.2657e+10,1.77846e+29,0,0,0,2.66058e+40
861851,-2.6513e+33,-2.26678e+10,1.77846e+29,0,0,0,2.66058e+40
869906,-2.6513e+33,-2.77995e+10,1.77846e+29,0,0,0,2.66058e+40
877961,-2.6513e+33,-2.52487e+10,1.77846e+29,0,0,0,2.66058e+40
886016,-2.6513e+33,-1.24545e+10,1.77846e+29,0,0,0,2.66058e+40
894070,-2.6513e+33,-4.78124e+09,1.77846e+29,0,0,0,2.66058e+40
902125,-2.6513e+33,-9.91086e+09,1.77846e+29,0,0,0,2.66058e+40
910180,-2.6513e+33,-2.27219e+10,1.77846e+29,0,0,0,2.66058e+40
918234,-2.6513e+33,-7.36452e+09,1.77846e+29,0,0,0,2.66058e+40
926289,-2.6513e+33,-1.50526e+10,1.77846e+29,0,0,0,2.66058e+40
934344,-2.6513e+33,-2.01791e+10,1.77846e+29,0,0,0,2.66058e+40
942398,-2.6513e+33,-1.50618e+10,1.77846e+29,0,0,0,2.66058e+40
950453,-2.6513e+33,-2.27469e+10,1.77846e+29,0,0,0,2.66058e+40
958508,-2.6513e+33,-3.81127e+10,1.77846e+29,0,0,0,2.66058e+40
966562,-2.6513e+33,-3.55522e+10,1.77846e+29,0,0,0,2.66058e+40
974617,-2.6513e+33,-4.32327e+10,1.77846e+29,0,0,0,2.66058e+40
982672,-2.6513e+33,-3.55471e+10,1.77846e+29,0,0,0,2.66058e+40
990726,-2.6513e+33,-3.55412e+10,1.77846e+29,0,0,0,2.66058e+40
998781,-2.6513e+33,-6.11396e+10,1.77846e+29,0,0,0,2.66058e+40
1.00684e+06,-2.6513e+33,-5.08848e+10,1.77846e+29,0,0,0,2.66058e+40
1.01489e+06,-2.6513e+33,-2.78224e+10,1.77846e+29,0,0,0,2.66058e+40
1.02295e+06,-2.6513e+33,-2.78011e+10,1.77846e+29,0,0,0,2.66058e+40
1.031e+06,-2.6513e+33,-1.75305e+10,1.77846e+29,0,0,0,2.66058e+40
