t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,5.77736e-05,0,0,1.496e+11,2.39869e+06,0,1.49606e+11,3.29276e+06,0
8054.69,0.589349,0.000318106,0,1.496e+11,2.42267e+08,0,1.49569e+11,2.71585e+08,0
16109.4,2.33411,0.00250742,0,1.49599e+11,4.82135e+08,0,1.49541e+11,5.1949e+08,0
24164.1,5.23434,0.00842062,0,1.49598e+11,7.22002e+08,0,1.49517e+11,7.64128e+08,0
32218.7,9.29003,0.0199104,0,1.49597e+11,9.61866e+08,0,1.49496e+11,1.00725e+09,0
40273.4,14.5012,0.0388294,0,1.49595e+11,1.20173e+09,0,1.49477e+11,1.24948e+09,0
48328.1,20.8677,0.0670302,0,1.49593e+11,1.44159e+09,0,1.49459e+11,1.4911e+09,0
56382.8,28.3897,0.106365,0,1.49591e+11,1.68144e+09,0,1.49441e+11,1.73227e+09,0
64437.5,37.0671,0.158688,0,1.49588e+11,1.92129e+09,0,1.49424e+11,1.97311e+09,0
72492.2,46.8999,0.22585,0,1.49584e+11,2.16114e+09,0,1.49407e+11,2.21367e+09,0
80546.9,57.888,0.309704,0,1.49581e+11,2.40098e+09,0,1.49391e+11,2.45401e+09,0
88601.6,70.0314,0.412102,0,1.49577e+11,2.64082e+09,0,1.49375e+11,2.69416e+09,0
96656.2,83.3302,0.534898,0,1.49572e+11,2.88064e+09,0,1.4936e+11,2.93415e+09,0
104711,97.7842,0.679943,0,1.49567e+11,3.12046e+09,0,1.49344e+11,3.174e+09,0
112766,113.393,0.849089,0,1.49562e+11,3.36028e+09,0,1.49329e+11,3.41373e+09,0
120820,130.158,1.04419,0,1.49557e+11,3.60008e+09,0,1.49313e+11,3.65335e+09,0
128875,148.077,1.2671,0,1.49551e+11,3.83987e+09,0,1.49298e+11,3.89288e+09,0
136930,167.152,1.51966,0,1.49544e+11,4.07966e+09,0,1.49282e+11,4.13231e+09,0
144984,187.382,1.80374,0,1.49538e+11,4.31943e+09,0,1.49267e+11,4.37166e+09,0
153039,208.766,2.12117,0,1.4953e+11,4.55919e+09,0,1.49251e+11,4.61093e+09,0
161094,231.306,2.47383,0,1.49523e+11,4.79895e+09,0,1.49236e+11,4.85014e+09,0
169148,255,2.86354,0,1.49515e+11,5.03868e+09,0,1.4922e+11,5.08928e+09,0
177203,279.85,3.29218,0,1.49507e+11,5.27841e+09,0,1.49204e+11,5.32835e+09,0
185258,305.854,3.76158,0,1.49498e+11,5.51812e+09,0,1.49188e+11,5.56737e+09,0
193312,333.012,4.27361,0,1.49489e+11,5.75782e+09,0,1.49172e+11,5.80633e+09,0
201367,361.326,4.8301,0,1.4948e+11,5.9975e+09,0,1.49156e+11,6.04524e+09,0
209422,390.794,5.43292,0,1.4947e+11,6.23717e+09,0,1.4914e+11,6.2841e+09,0
217477,421.416,6.08392,0,1.4946e+11,6.47682e+09,0,1.49123e+11,6.52291e+09,0
225531,453.193,6.78494,0,1.49449e+11,6.71646e+09,0,1.49107e+11,6.76167e+09,0
233586,486.124,7.53783,0,1.49438e+11,6.95608e+09,0,1.4909e+11,7.00039e+09,0
241641,520.209,8.34446,0,1.49427e+11,7.19568e+09,0,1.49073e+11,7.23906e+09,0
249695,555.448,9.20666,0,1.49415e+11,7.43526e+09,0,1.49056e+11,7.47769e+09,0
257750,591.842,10.1263,0,1.49403e+11,7.67482e+09,0,1.49038e+11,7.71627e+09,0
265805,629.389,11.1052,0,1.4939e+11,7.91436e+09,0,1.49021e+11,7.95482e+09,0
273859,668.091,12.1452,0,1.49377e+11,8.15388e+09,0,1.49003e+11,8.19332e+09,0
281914,707.946,13.2482,0,1.49364e+11,8.39339e+09,0,1.48985e+11,8.43178e+09,0
289969,748.954,14.4161,0,1.49351e+11,8.63287e+09,0,1.48967e+11,8.6702e+09,0
298023,791.117,15.6506,0,1.49337e+11,8.87232e+09,0,1.48949e+11,8.90859e+09,0
306078,834.432,16.9537,0,1.49322e+11,9.11176e+09,0,1.4893e+11,9.14693e+09,0
314133,878.901,18.3271,0,1.49307e+11,9.35117e+09,0,1.48911e+11,9.38524e+09,0
322187,924.524,19.7727,0,1.49292e+11,9.59056e+09,0,1.48892e+11,9.6235e+09,0
330242,971.299,21.2925,0,1.49277e+11,9.82992e+09,0,1.48873e+11,9.86173e+09,0
338297,1019.23,22.8881,0,1.49261e+11,1.00693e+10,0,1.48853e+11,1.00999e+10,0
346352,1068.31,24.5615,0,1.49244e+11,1.03086e+10,0,1.48834e+11,1.03381e+10,0
354406,1118.54,26.3146,0,1.49227e+11,1.05479e+10,0,1.48814e+11,1.05762e+10,0
362461,1169.93,28.1491,0,1.4921e+11,1.07871e+10,0,1.48794e+11,1.08143e+10,0
370516,1222.47,30.0669,0,1.49193e+11,1.10263e+10,0,1.48773e+11,1.10523e+10,0
378570,1276.16,32.0699,0,1.49175e+11,1.12655e+10,0,1.48753e+11,1.12903e+10,0
386625,1331,34.1599,0,1.49157e+11,1.15047e+10,0,1.48732e+11,1.15283e+10,0
394680,1387,36.3388,0,1.49138e+11,1.17439e+10,0,1.4871e+11,1.17662e+10,0
402734,1444.15,38.6084,0,1.49119e+11,1.1983e+10,0,1.48689e+11,1.20041e+10,0
410789,1502.44,40.9705,0,1.491e+11,1.22221e+10,0,1.48667e+11,1.22419e+10,0
418844,1561.9,43.4271,0,1.4908e+11,1.24611e+10,0,1.48646e+11,1.24798e+10,0
426898,1622.5,45.9798,0,1.4906e+11,1.27001e+10,0,1.48623e+11,1.27175e+10,0
434953,1684.25,48.6307,0,1.49039e+11,1.29391e+10,0,1.48601e+11,1.29553e+10,0
443008,1747.16,51.3815,0,1.49018e+11,1.31781e+10,0,1.48578e+11,1.3193e+10,0
451062,1811.21,54.2341,0,1.48997e+11,1.3417e+10,0,1.48555e+11,1.34306e+10,0
459117,1876.42,57.1903,0,1.48975e+11,1.36559e+10,0,1.48532e+11,1.36682e+10,0
467172,1942.78,60.252,0,1.48953e+11,1.38947e+10,0,1.48509e+11,1.39058e+10,0
475227,2010.28,63.4211,0,1.4893e+11,1.41335e+10,0,1.48485e+11,1.41434e+10,0
483281,2078.94,66.6992,0,1.48908e+11,1.43723e+10,0,1.48461e+11,1.43809e+10,0
491336,2148.75,70.0884,0,1.48884e+11,1.4611e+10,0,1.48437e+11,1.46183e+10,0
499391,2219.71,73.5905,0,1.48861e+11,1.48497e+10,0,1.48413e+11,1.48557e+10,0
507445,2291.82,77.2072,0,1.48837e+11,1.50884e+10,0,1.48388e+11,1.50931e+10,0
515500,2365.07,80.9405,0,1.48812e+11,1.5327e+10,0,1.48363e+11,1.53305e+10,0
523555,2439.48,84.7922,0,1.48788e+11,1.55656e+10,0,1.48338e+11,1.55678e+10,0
531609,2515.04,88.7641,0,1.48762e+11,1.58042e+10,0,1.48313e+11,1.5805e+10,0
539664,2591.74,92.858,0,1.48737e+11,1.60427e+10,0,1.48287e+11,1.60422e+10,0
547719,2669.59,97.0759,0,1.48711e+11,1.62811e+10,0,1.48261e+11,1.62794e+10,0
555773,2748.6,101.42,0,1.48685e+11,1.65196e+10,0,1.48235e+11,1.65166e+10,0
563828,2828.75,105.891,0,1.48658e+11,1.67579e+10,0,1.48208e+11,1.67537e+10,0
571883,2910.05,110.491,0,1.48631e+11,1.69963e+10,0,1.48181e+11,1.69907e+10,0
579937,2992.49,115.223,0,1.48603e+11,1.72346e+10,0,1.48155e+11,1.72277e+10,0
587992,3076.09,120.088,0,1.48575e+11,1.74728e+10,0,1.48127e+11,1.74647e+10,0
596047,3160.83,125.088,0,1.48547e+11,1.7711e+10,0,1.481e+11,1.77016e+10,0
604101,3246.72,130.225,0,1.48519e+11,1.79492e+10,0,1.48072e+11,1.79385e+10,0
612156,3333.76,135.501,0,1.4849e+11,1.81873e+10,0,1.48044e+11,1.81753e+10,0
620211,3421.94,140.917,0,1.4846e+11,1.84253e+10,0,1.48016e+11,1.84121e+10,0
628266,3511.27,146.475,0,1.48431e+11,1.86634e+10,0,1.47987e+11,1.86488e+10,0
636320,3601.75,152.177,0,1.484e+11,1.89013e+10,0,1.47958e+11,1.88856e+10,0
644375,3693.37,158.026,0,1.4837e+11,1.91393e+10,0,1.47929e+11,1.91222e+10,0
652430,3786.14,164.022,0,1.48339e+11,1.93771e+10,0,1.479e+11,1.93588e+10,0
660484,3880.06,170.168,0,1.48308e+11,1.96149e+10,0,1.47871e+11,1.95954e+10,0
668539,3975.12,176.465,0,1.48276e+11,1.98527e+10,0,1.47841e+11,1.98319e+10,0
676594,4071.32,182.916,0,1.48244e+11,2.00904e+10,0,1.47811e+11,2.00684e+10,0
684648,4168.67,189.522,0,1.48212e+11,2.03281e+10,0,1.47781e+11,2.03048e+10,0
692703,4267.17,196.284,0,1.48179e+11,2.05657e+10,0,1.4775e+11,2.05412e+10,0
700758,4366.81,203.206,0,1.48146e+11,2.08033e+10,0,1.47719e+11,2.07776e+10,0
708812,4467.59,210.289,0,1.48112e+11,2.10408e+10,0,1.47688e+11,2.10139e+10,0
716867,4569.52,217.534,0,1.48078e+11,2.12783e+10,0,1.47657e+11,2.12501e+10,0
724922,4672.59,224.943,0,1.48044e+11,2.15157e+10,0,1.47626e+11,2.14863e+10,0
732976,4776.81,232.518,0,1.48009e+11,2.1753e+10,0,1.47594e+11,2.17225e+10,0
741031,4882.17,240.262,0,1.47974e+11,2.19903e+10,0,1.47562e+11,2.19586e+10,0
749086,4988.67,248.175,0,1.47939e+11,2.22275e+10,0,1.4753e+11,2.21947e+10,0
757141,5096.31,256.26,0,1.47903e+11,2.24647e+10,0,1.47497e+11,2.24307e+10,0
765195,5205.1,264.519,0,1.47866e+11,2.27018e+10,0,1.47465e+11,2.26667e+10,0
773250,5315.03,272.953,0,1.4783e+11,2.29389e+10,0,1.47432e+11,2.29026e+10,0
781305,5426.1,281.564,0,1.47793e+11,2.31759e+10,0,1.47399e+11,2.31385e+10,0
789359,5538.31,290.354,0,1.47755e+11,2.34128e+10,0,1.47366e+11,2.33744e+10,0
797414,5651.67,299.325,0,1.47718e+11,2.36497e+10,0,1.47332e+11,2.36102e+10,0
805469,5766.16,308.478,0,1.4768e+11,2.38865e+10,0,1.47298e+11,2.38459e+10,0
813523,5881.8,317.816,0,1.47641e+11,2.41233e+10,0,1.47264e+11,2.40817e+10,0
821578,5998.57,327.341,0,1.47602e+11,2.436e+10,0,1.4723e+11,2.43173e+10,0
829633,6116.49,337.053,0,1.47563e+11,2.45966e+10,0,1.47196e+11,2.4553e+10,0
837687,6235.54,346.956,0,1.47523e+11,2.48332e+10,0,1.47161e+11,2.47886e+10,0
845742,6355.74,357.05,0,1.47483e+11,2.50697e+10,0,1.47127e+11,2.50241e+10,0
853797,6477.07,367.338,0,1.47443e+11,2.53061e+10,0,1.47092e+11,2.52596e+10,0
861851,6599.54,377.822,0,1.47402e+11,2.55425e+10,0,1.47057e+11,2.54951e+10,0
869906,6723.16,388.503,0,1.47361e+11,2.57788e+10,0,1.47022e+11,2.57305e+10,0
877961,6847.9,399.382,0,1.47319e+11,2.60151e+10,0,1.46986e+11,2.59659e+10,0
886016,6973.79,410.463,0,1.47277e+11,2.62512e+10,0,1.46951e+11,2.62013e+10,0
894070,7100.82,421.747,0,1.47235e+11,2.64873e+10,0,1.46915e+11,2.64366e+10,0
902125,7228.98,433.235,0,1.47192e+11,2.67234e+10,0,1.46879e+11,2.66719e+10,0
910180,7358.28,444.929,0,1.47149e+11,2.69594e+10,0,1.46843e+11,2.69072e+10,0
918234,7488.71,456.832,0,1.47106e+11,2.71953e+10,0,1.46807e+11,2.71425e+10,0
926289,7620.29,468.945,0,1.47062e+11,2.74311e+10,0,1.46771e+11,2.73777e+10,0
934344,7752.99,481.27,0,1.47018e+11,2.76669e+10,0,1.46735e+11,2.76129e+10,0
942398,7886.84,493.808,0,1.46973e+11,2.79026e+10,0,1.46698e+11,2.78481e+10,0
950453,8021.82,506.562,0,1.46928e+11,2.81382e+10,0,1.46662e+11,2.80833e+10,0
958508,8157.93,519.533,0,1.46883e+11,2.83737e+10,0,1.46625e+11,2.83185e+10,0
966562,8295.18,532.724,0,1.46837e+11,2.86092e+10,0,1.46589e+11,2.85537e+10,0
974617,8433.56,546.135,0,1.46791e+11,2.88446e+10,0,1.46552e+11,2.87889e+10,0
982672,8573.07,559.77,0,1.46745e+11,2.90799e+10,0,1.46516e+11,2.90241e+10,0
990726,8713.72,573.628,0,1.46698e+11,2.93152e+10,0,1.4648e+11,2.92594e+10,0
998781,8855.51,587.714,0,1.46651e+11,2.95504e+10,0,1.46443e+11,2.94947e+10,0
1.00684e+06,8998.42,602.027,0,1.46603e+11,2.97855e+10,0,1.46407e+11,2.97301e+10,0
1.01489e+06,9142.47,616.571,0,1.46555e+11,3.00205e+10,0,1.46372e+11,2.99656e+10,0
1.02295e+06,9287.65,631.346,0,1.46507e+11,3.02554e+10,0,1.46336e+11,3.02012e+10,0
1.031e+06,9433.96,646.355,0,1.46458e+11,3.04903e+10,0,1.46301e+11,3.0437e+10,0
1.03905e+06,9581.4,661.6,0,1.46409e+11,3.07251e+10,0,1.46266e+11,3.0673e+10,0
1.04711e+06,9729.98,677.082,0,1.46359e+11,3.09598e+10,0,1.46232e+11,3.09093e+10,0
1.05516e+06,9879.68,692.803,0,1.4631e+11,3.11944e+10,0,1.46199e+11,3.1146e+10,0
1.06322e+06,10030.5,708.765,0,1.46259e+11,3.1429e+10,0,1.46168e+11,3.13834e+10,0
1.07127e+06,10182.5,724.97,0,1.46209e+11,3.16635e+10,0,1.46138e+11,3.16219e+10,0
1.07933e+06,10335.6,741.419,0,1.46158e+11,3.18979e+10,0,1.46111e+11,3.18623e+10,0
1.08738e+06,10489.8,758.115,0,1.46106e+11,3.21322e+10,0,1.4609e+11,3.21082e+10,0
1.09544e+06,10645.1,775.059,0,1.46055e+11,3.23664e+10,0,1.46046e+11,3.2386e+10,0
1.10349e+06,10801.6,792.253,0,1.46002e+11,3.26005e+10,0,1.45961e+11,3.26341e+10,0
1.11155e+06,10959.2,809.699,0,1.4595e+11,3.28346e+10,0,1.45883e+11,3.28746e+10,0
1.1196e+06,11118,827.398,0,1.45897e+11,3.30686e+10,0,1.45809e+11,3.31127e+10,0
1.12766e+06,11277.8,845.353,0,1.45844e+11,3.33024e+10,0,1.45737e+11,3.33494e+10,0
1.13571e+06,11438.8,863.565,0,1.4579e+11,3.35363e+10,0,1.45666e+11,3.35853e+10,0
1.14377e+06,11600.9,882.036,0,1.45736e+11,3.377e+10,0,1.45596e+11,3.38206e+10,0
1.15182e+06,11764.2,900.768,0,1.45682e+11,3.40036e+10,0,1.45527e+11,3.40553e+10,0
1.15987e+06,11928.5,919.763,0,1.45627e+11,3.42371e+10,0,1.45459e+11,3.42897e+10,0
1.16793e+06,12094,939.022,0,1.45572e+11,3.44706e+10,0,1.45391e+11,3.45237e+10,0
1.17598e+06,12260.6,958.547,0,1.45517e+11,3.4704e+10,0,1.45323e+11,3.47575e+10,0
1.18404e+06,12428.4,978.34,0,1.45461e+11,3.49372e+10,0,1.45255e+11,3.4991e+10,0
1.19209e+06,12597.2,998.403,0,1.45404e+11,3.51704e+10,0,1.45188e+11,3.52242e+10,0
1.20015e+06,12767.2,1018.74,0,1.45348e+11,3.54035e+10,0,1.45121e+11,3.54573e+10,0
1.2082e+06,12938.3,1039.35,0,1.45291e+11,3.56365e+10,0,1.45054e+11,3.56901e+10,0
1.21626e+06,13110.5,1060.23,0,1.45233e+11,3.58694e+10,0,1.44986e+11,3.59227e+10,0
1.22431e+06,13283.9,1081.39,0,1.45176e+11,3.61023e+10,0,1.44919e+11,3.61552e+10,0
1.23237e+06,13458.4,1102.83,0,1.45118e+11,3.6335e+10,0,1.44852e+11,3.63875e+10,0
1.24042e+06,13634,1124.55,0,1.45059e+11,3.65676e+10,0,1.44785e+11,3.66196e+10,0
1.24848e+06,13810.7,1146.55,0,1.45e+11,3.68002e+10,0,1.44718e+11,3.68516e+10,0
1.25653e+06,13988.5,1168.84,0,1.44941e+11,3.70326e+10,0,1.44651e+11,3.70834e+10,0
1.26459e+06,14167.5,1191.41,0,1.44881e+11,3.7265e+10,0,1.44584e+11,3.73151e+10,0
1.27264e+06,14347.5,1214.27,0,1.44821e+11,3.74972e+10,0,1.44516e+11,3.75466e+10,0
1.2807e+06,14528.7,1237.42,0,1.44761e+11,3.77294e+10,0,1.44449e+11,3.7778e+10,0
1.28875e+06,14711,1260.87,0,1.447e+11,3.79614e+10,0,1.44381e+11,3.80093e+10,0
1.2968e+06,14894.5,1284.6,0,1.44639e+11,3.81934e+10,0,1.44313e+11,3.82404e+10,0
1.30486e+06,15079,1308.63,0,1.44578e+11,3.84253e+10,0,1.44246e+11,3.84714e+10,0
1.31291e+06,15264.7,1332.96,0,1.44516e+11,3.8657e+10,0,1.44178e+11,3.87022e+10,0
1.32097e+06,15451.4,1357.58,0,1.44454e+11,3.88887e+10,0,1.44109e+11,3.8933e+10,0
1.32902e+06,15639.3,1382.51,0,1.44391e+11,3.91203e+10,0,1.44041e+11,3.91636e+10,0
1.33708e+06,15828.3,1407.74,0,1.44328e+11,3.93517e+10,0,1.43973e+11,3.9394e+10,0
1.34513e+06,16018.5,1433.27,0,1.44265e+11,3.95831e+10,0,1.43904e+11,3.96244e+10,0
1.35319e+06,16209.7,1459.11,0,1.44201e+11,3.98144e+10,0,1.43835e+11,3.98546e+10,0
1.36124e+06,16402.1,1485.25,0,1.44137e+11,4.00455e+10,0,1.43766e+11,4.00847e+10,0
1.3693e+06,16595.5,1511.71,0,1.44073e+11,4.02766e+10,0,1.43697e+11,4.03147e+10,0
1.37735e+06,16790.1,1538.47,0,1.44008e+11,4.05075e+10,0,1.43627e+11,4.05445e+10,0
1.38541e+06,16985.8,1565.55,0,1.43943e+11,4.07384e+10,0,1.43558e+11,4.07742e+10,0
1.39346e+06,17182.6,1592.94,0,1.43877e+11,4.09691e+10,0,1.43488e+11,4.10038e+10,0
1.40152e+06,17380.5,1620.65,0,1.43811e+11,4.11998e+10,0,1.43418e+11,4.12333e+10,0
1.40957e+06,17579.5,1648.68,0,1.43745e+11,4.14303e+10,0,1.43348e+11,4.14627e+10,0
1.41762e+06,17779.7,1677.03,0,1.43678e+11,4.16607e+10,0,1.43277e+11,4.16919e+10,0
1.42568e+06,17980.9,1705.7,0,1.43611e+11,4.1891e+10,0,1.43207e+11,4.19211e+10,0
1.43373e+06,18183.3,1734.69,0,1.43544e+11,4.21213e+10,0,1.43136e+11,4.21501e+10,0
1.44179e+06,18386.7,1764.01,0,1.43476e+11,4.23514e+10,0,1.43065e+11,4.23789e+10,0
1.44984e+06,18591.3,1793.66,0,1.43408e+11,4.25814e+10,0,1.42994e+11,4.26077e+10,0
1.4579e+06,18797,1823.63,0,1.4334e+11,4.28112e+10,0,1.42922e+11,4.28363e+10,0
1.46595e+06,19003.7,1853.94,0,1.43271e+11,4.3041e+10,0,1.4285e+11,4.30649e+10,0
1.47401e+06,19211.6,1884.58,0,1.43201e+11,4.32707e+10,0,1.42778e+11,4.32933e+10,0
1.48206e+06,19420.6,1915.55,0,1.43132e+11,4.35002e+10,0,1.42706e+11,4.35216e+10,0
1.49012e+06,19630.7,1946.86,0,1.43062e+11,4.37297e+10,0,1.42634e+11,4.37497e+10,0
1.49817e+06,19841.9,1978.5,0,1.42992e+11,4.3959e+10,0,1.42561e+11,4.39778e+10,0
1.50623e+06,20054.3,2010.49,0,1.42921e+11,4.41882e+10,0,1.42488e+11,4.42057e+10,0
1.51428e+06,20267.7,2042.81,0,1.4285e+11,4.44173e+10,0,1.42415e+11,4.44335e+10,0
1.52234e+06,20482.2,2075.48,0,1.42778e+11,4.46463e+10,0,1.42342e+11,4.46612e+10,0
1.53039e+06,20697.8,2108.5,0,1.42707e+11,4.48752e+10,0,1.42268e+11,4.48887e+10,0
1.53845e+06,20914.5,2141.86,0,1.42634e+11,4.51039e+10,0,1.42195e+11,4.51162e+10,0
1.5465e+06,21132.4,2175.57,0,1.42562e+11,4.53326e+10,0,1.4212e+11,4.53435e+10,0
1.55455e+06,21351.3,2209.63,0,1.42489e+11,4.55611e+10,0,1.42046e+11,4.55707e+10,0
1.56261e+06,21571.3,2244.04,0,1.42416e+11,4.57895e+10,0,1.41972e+11,4.57978e+10,0
1.57066e+06,21792.5,2278.81,0,1.42342e+11,4.60178e+10,0,1.41897e+11,4.60247e+10,0
1.57872e+06,22014.7,2313.93,0,1.42268e+11,4.6246e+10,0,1.41822e+11,4.62515e+10,0
1.58677e+06,22238,2349.41,0,1.42194e+11,4.6474e+10,0,1.41747e+11,4.64783e+10,0
1.59483e+06,22462.4,2385.24,0,1.42119e+11,4.6702e+10,0,1.41671e+11,4.67048e+10,0
1.60288e+06,22688,2421.44,0,1.42044e+11,4.69298e+10,0,1.41596e+11,4.69313e+10,0
1.61094e+06,22914.6,2458,0,1.41968e+11,4.71575e+10,0,1.4152e+11,4.71577e+10,0
1.61899e+06,23142.3,2494.93,0,1.41892e+11,4.7385e+10,0,1.41444e+11,4.73839e+10,0
1.62705e+06,23371.1,2532.22,0,1.41816e+11,4.76125e+10,0,1.41367e+11,4.761e+10,0
1.6351e+06,23601,2569.88,0,1.4174e+11,4.78398e+10,0,1.4129e+11,4.7836e+10,0
1.64316e+06,23832,2607.9,0,1.41663e+11,4.8067e+10,0,1.41214e+11,4.80618e+10,0
1.65121e+06,24064.1,2646.3,0,1.41585e+11,4.82941e+10,0,1.41136e+11,4.82876e+10,0
1.65927e+06,24297.3,2685.08,0,1.41508e+11,4.8521e+10,0,1.41059e+11,4.85132e+10,0
1.66732e+06,24531.6,2724.22,0,1.4143e+11,4.87479e+10,0,1.40981e+11,4.87387e+10,0
1.67537e+06,24767,2763.75,0,1.41351e+11,4.89746e+10,0,1.40904e+11,4.8964e+10,0
1.68343e+06,25003.5,2803.65,0,1.41272e+11,4.92012e+10,0,1.40826e+11,4.91893e+10,0
1.69148e+06,25241,2843.93,0,1.41193e+11,4.94276e+10,0,1.40747e+11,4.94144e+10,0
1.69954e+06,25479.7,2884.6,0,1.41114e+11,4.96539e+10,0,1.40669e+11,4.96394e+10,0
1.70759e+06,25719.4,2925.64,0,1.41034e+11,4.98801e+10,0,1.4059e+11,4.98642e+10,0
1.71565e+06,25960.2,2967.08,0,1.40954e+11,5.01062e+10,0,1.40511e+11,5.0089e+10,0
1.7237e+06,26202.2,3008.9,0,1.40873e+11,5.03321e+10,0,1.40432e+11,5.03136e+10,0
1.73176e+06,26445.2,3051.11,0,1.40792e+11,5.0558e+10,0,1.40352e+11,5.05381e+10,0
1.73981e+06,26689.3,3093.7,0,1.40711e+11,5.07836e+10,0,1.40272e+11,5.07624e+10,0
1.74787e+06,26934.4,3136.7,0,1.40629e+11,5.10092e+10,0,1.40193e+11,5.09867e+10,0
1.75592e+06,27180.7,3180.08,0,1.40547e+11,5.12346e+10,0,1.40112e+11,5.12108e+10,0
1.76398e+06,27428.1,3223.86,0,1.40465e+11,5.14599e+10,0,1.40032e+11,5.14348e+10,0
1.77203e+06,27676.5,3268.04,0,1.40382e+11,5.1685e+10,0,1.39951e+11,5.16586e+10,0
1.78009e+06,27926,3312.62,0,1.40299e+11,5.19101e+10,0,1.3987e+11,5.18824e+10,0
1.78814e+06,28176.6,3357.6,0,1.40216e+11,5.2135e+10,0,1.39789e+11,5.2106e+10,0
1.7962e+06,28428.3,3402.98,0,1.40132e+11,5.23597e+10,0,1.39708e+11,5.23295e+10,0
1.80425e+06,28681.1,3448.77,0,1.40048e+11,5.25843e+10,0,1.39627e+11,5.25528e+10,0
1.8123e+06,28935,3494.96,0,1.39963e+11,5.28088e+10,0,1.39545e+11,5.27761e+10,0
1.82036e+06,29189.9,3541.56,0,1.39878e+11,5.30332e+10,0,1.39463e+11,5.29992e+10,0
1.82841e+06,29445.9,3588.57,0,1.39793e+11,5.32574e+10,0,1.39381e+11,5.32222e+10,0
1.83647e+06,29703,3635.99,0,1.39707e+11,5.34814e+10,0,1.39298e+11,5.3445e+10,0
1.84452e+06,29961.2,3683.83,0,1.39621e+11,5.37054e+10,0,1.39216e+11,5.36678e+10,0
1.85258e+06,30220.4,3732.07,0,1.39535e+11,5.39292e+10,0,1.39133e+11,5.38904e+10,0
1.86063e+06,30480.8,3780.74,0,1.39448e+11,5.41528e+10,0,1.3905e+11,5.41129e+10,0
1.86869e+06,30742.2,3829.82,0,1.39361e+11,5.43764e+10,0,1.38967e+11,5.43352e+10,0
1.87674e+06,31004.7,3879.33,0,1.39274e+11,5.45997e+10,0,1.38883e+11,5.45575e+10,0
1.8848e+06,31268.2,3929.26,0,1.39186e+11,5.4823e+10,0,1.388e+11,5.47796e+10,0
1.89285e+06,31532.9,3979.61,0,1.39098e+11,5.50461e+10,0,1.38716e+11,5.50016e+10,0
1.90091e+06,31798.6,4030.38,0,1.39009e+11,5.5269e+10,0,1.38632e+11,5.52234e+10,0
1.90896e+06,32065.4,4081.58,0,1.3892e+11,5.54919e+10,0,1.38548e+11,5.54452e+10,0
1.91702e+06,32333.2,4133.21,0,1.38831e+11,5.57145e+10,0,1.38464e+11,5.56668e+10,0
1.92507e+06,32602.1,4185.27,0,1.38742e+11,5.59371e+10,0,1.38379e+11,5.58883e+10,0
1.93312e+06,32872.1,4237.77,0,1.38652e+11,5.61594e+10,0,1.38295e+11,5.61097e+10,0
1.94118e+06,33143.2,4290.69,0,1.38562e+11,5.63817e+10,0,1.3821e+11,5.6331e+10,0
1.94923e+06,33415.4,4344.05,0,1.38471e+11,5.66038e+10,0,1.38125e+11,5.65521e+10,0
1.95729e+06,33688.6,4397.85,0,1.3838e+11,5.68257e+10,0,1.3804e+11,5.67732e+10,0
1.96534e+06,33962.9,4452.09,0,1.38289e+11,5.70475e+10,0,1.37954e+11,5.69941e+10,0
1.9734e+06,34238.2,4506.77,0,1.38197e+11,5.72692e+10,0,1.37869e+11,5.72149e+10,0
1.98145e+06,34514.6,4561.89,0,1.38105e+11,5.74907e+10,0,1.37784e+11,5.74356e+10,0
1.98951e+06,34792.1,4617.46,0,1.38012e+11,5.77121e+10,0,1.37698e+11,5.76562e+10,0
1.99756e+06,35070.7,4673.47,0,1.3792e+11,5.79333e+10,0,1.37612e+11,5.78767e+10,0
2.00562e+06,35350.3,4729.93,0,1.37826e+11,5.81543e+10,0,1.37526e+11,5.80971e+10,0
2.01367e+06,35631,4786.84,0,1.37733e+11,5.83753e+10,0,1.3744e+11,5.83174e+10,0
2.02173e+06,35912.7,4844.2,0,1.37639e+11,5.8596e+10,0,1.37354e+11,5.85376e+10,0
2.02978e+06,36195.5,4902.01,0,1.37545e+11,5.88166e+10,0,1.37268e+11,5.87577e+10,0
2.03784e+06,36479.4,4960.27,0,1.3745e+11,5.90371e+10,0,1.37182e+11,5.89777e+10,0
2.04589e+06,36764.3,5019,0,1.37355e+11,5.92574e+10,0,1.37096e+11,5.91976e+10,0
2.05395e+06,37050.3,5078.18,0,1.3726e+11,5.94776e+10,0,1.3701e+11,5.94175e+10,0
2.062e+06,37337.4,5137.82,0,1.37165e+11,5.96976e+10,0,1.36924e+11,5.96373e+10,0
