t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,0.0010789,7.70952e-09,0,3.84e+08,8231.89,0,6.37068e+06,89405.6,0
805.469,11.0058,0.00794312,0,3.83999e+08,831421,0,3.82736e+06,7.96489e+06,0
1610.94,43.5885,0.0626059,0,3.83996e+08,1.65461e+06,0,-603854,1.31184e+07,0
2416.41,97.7488,0.210245,0,3.83992e+08,2.47778e+06,0,-5.05757e+06,1.67006e+07,0
3221.88,173.487,0.497117,0,3.83986e+08,3.30095e+06,0,-9.27791e+06,1.94403e+07,0
4027.34,270.802,0.969478,0,3.83978e+08,4.1241e+06,0,-1.32599e+07,2.16651e+07,0
4832.81,389.693,1.67358,0,3.83968e+08,4.94723e+06,0,-1.70325e+07,2.35426e+07,0
5638.28,530.161,2.65569,0,3.83957e+08,5.77034e+06,0,-2.06251e+07,2.51692e+07,0
6443.75,692.205,3.96204,0,3.83944e+08,6.59342e+06,0,-2.40625e+07,2.66052e+07,0
7249.22,875.823,5.63889,0,3.83929e+08,7.41648e+06,0,-2.73647e+07,2.78914e+07,0
8054.69,1081.02,7.7325,0,3.83912e+08,8.2395e+06,0,-3.05481e+07,2.90559e+07,0
8860.16,1307.78,10.2891,0,3.83894e+08,9.06248e+06,0,-3.36259e+07,3.01198e+07,0
9665.63,1556.12,13.355,0,3.83874e+08,9.88542e+06,0,-3.66089e+07,3.10988e+07,0
10471.1,1826.03,16.9763,0,3.83852e+08,1.07083e+07,0,-3.95065e+07,3.2005e+07,0
11276.6,2117.5,21.1994,0,3.83828e+08,1.15312e+07,0,-4.23261e+07,3.28481e+07,0
12082,2430.55,26.0704,0,3.83802e+08,1.2354e+07,0,-4.50746e+07,3.36358e+07,0
12887.5,2765.16,31.6357,0,3.83775e+08,1.31767e+07,0,-4.77574e+07,3.43745e+07,0
13693,3121.34,37.9414,0,3.83746e+08,1.39994e+07,0,-5.03795e+07,3.50696e+07,0
14498.4,3499.08,45.0337,0,3.83716e+08,1.4822e+07,0,-5.29453e+07,3.57254e+07,0
15303.9,3898.39,52.9589,0,3.83683e+08,1.56445e+07,0,-5.54585e+07,3.63457e+07,0
16109.4,4319.25,61.7633,0,3.83649e+08,1.6467e+07,0,-5.79224e+07,3.69337e+07,0
16914.8,4761.67,71.493,0,3.83613e+08,1.72894e+07,0,-6.03401e+07,3.74922e+07,0
17720.3,5225.65,82.1943,0,3.83575e+08,1.81117e+07,0,-6.27142e+07,3.80237e+07,0
18525.8,5711.19,93.9133,0,3.83536e+08,1.8934e+07,0,-6.50472e+07,3.85302e+07,0
19331.3,6218.27,106.696,0,3.83495e+08,1.97561e+07,0,-6.73412e+07,3.90137e+07,0
20136.7,6746.91,120.589,0,3.83452e+08,2.05782e+07,0,-6.95983e+07,3.94757e+07,0
20942.2,7297.09,135.639,0,3.83407e+08,2.14001e+07,0,-7.18202e+07,3.99178e+07,0
21747.7,7868.82,151.891,0,3.8336e+08,2.2222e+07,0,-7.40086e+07,4.03413e+07,0
22553.1,8462.08,169.392,0,3.83312e+08,2.30438e+07,0,-7.6165e+07,4.07474e+07,0
23358.6,9076.89,188.187,0,3.83262e+08,2.38654e+07,0,-7.82909e+07,4.11371e+07,0
24164.1,9713.24,208.324,0,3.83211e+08,2.4687e+07,0,-8.03874e+07,4.15114e+07,0
24969.5,10371.1,229.848,0,3.83157e+08,2.55084e+07,0,-8.24559e+07,4.18713e+07,0
25775,11050.5,252.806,0,3.83102e+08,2.63297e+07,0,-8.44974e+07,4.22174e+07,0
26580.5,11751.5,277.243,0,3.83045e+08,2.71509e+07,0,-8.6513e+07,4.25506e+07,0
27385.9,12473.9,303.206,0,3.82986e+08,2.7972e+07,0,-8.85035e+07,4.28715e+07,0
28191.4,13217.9,330.74,0,3.82926e+08,2.8793e+07,0,-9.047e+07,4.31807e+07,0
28996.9,13983.4,359.893,0,3.82864e+08,2.96138e+07,0,-9.24133e+07,4.34789e+07,0
29802.4,14770.4,390.71,0,3.828e+08,3.04345e+07,0,-9.43341e+07,4.37665e+07,0
30607.8,15579,423.237,0,3.82734e+08,3.1255e+07,0,-9.62332e+07,4.4044e+07,0
31413.3,16409,457.521,0,3.82666e+08,3.20754e+07,0,-9.81113e+07,4.4312e+07,0
32218.8,17260.5,493.607,0,3.82597e+08,3.28957e+07,0,-9.99691e+07,4.45707e+07,0
33024.2,18133.6,531.541,0,3.82526e+08,3.37158e+07,0,-1.01807e+08,4.48207e+07,0
33829.7,19028.1,571.37,0,3.82454e+08,3.45357e+07,0,-1.03626e+08,4.50622e+07,0
34635.2,19944.1,613.14,0,3.82379e+08,3.53555e+07,0,-1.05426e+08,4.52957e+07,0
35440.6,20881.6,656.897,0,3.82303e+08,3.61752e+07,0,-1.07209e+08,4.55214e+07,0
36246.1,21840.6,702.687,0,3.82225e+08,3.69946e+07,0,-1.08973e+08,4.57397e+07,0
37051.6,22821.1,750.556,0,3.82145e+08,3.78139e+07,0,-1.10721e+08,4.59508e+07,0
37857,23823.1,800.549,0,3.82064e+08,3.86331e+07,0,-1.12452e+08,4.6155e+07,0
38662.5,24846.5,852.714,0,3.81981e+08,3.9452e+07,0,-1.14167e+08,4.63526e+07,0
39468,25891.4,907.096,0,3.81896e+08,4.02708e+07,0,-1.15866e+08,4.65437e+07,0
40273.4,26957.7,963.741,0,3.81809e+08,4.10894e+07,0,-1.17549e+08,4.67287e+07,0
41078.9,28045.5,1022.69,0,3.81721e+08,4.19078e+07,0,-1.19218e+08,4.69077e+07,0
41884.4,29154.7,1084,0,3.8163e+08,4.2726e+07,0,-1.20872e+08,4.7081e+07,0
42689.9,30285.4,1147.71,0,3.81539e+08,4.3544e+07,0,-1.22511e+08,4.72487e+07,0
43495.3,31437.6,1213.87,0,3.81445e+08,4.43618e+07,0,-1.24137e+08,4.7411e+07,0
44300.8,32611.1,1282.52,0,3.8135e+08,4.51794e+07,0,-1.25749e+08,4.7568e+07,0
45106.3,33806.1,1353.71,0,3.81252e+08,4.59968e+07,0,-1.27347e+08,4.772e+07,0
45911.7,35022.6,1427.49,0,3.81154e+08,4.6814e+07,0,-1.28933e+08,4.78671e+07,0
46717.2,36260.4,1503.89,0,3.81053e+08,4.7631e+07,0,-1.30505e+08,4.80094e+07,0
47522.7,37519.7,1582.97,0,3.80951e+08,4.84477e+07,0,-1.32065e+08,4.81472e+07,0
48328.1,38800.3,1664.78,0,3.80847e+08,4.92643e+07,0,-1.33613e+08,4.82804e+07,0
49133.6,40102.4,1749.35,0,3.80741e+08,5.00806e+07,0,-1.35148e+08,4.84093e+07,0
49939.1,41425.9,1836.74,0,3.80633e+08,5.08967e+07,0,-1.36672e+08,4.8534e+07,0
50744.5,42770.7,1926.99,0,3.80524e+08,5.17125e+07,0,-1.38185e+08,4.86545e+07,0
51550,44137,2020.14,0,3.80413e+08,5.25282e+07,0,-1.39685e+08,4.87711e+07,0
52355.5,45524.6,2116.25,0,3.803e+08,5.33435e+07,0,-1.41175e+08,4.88838e+07,0
53161,46933.5,2215.35,0,3.80186e+08,5.41587e+07,0,-1.42654e+08,4.89926e+07,0
53966.4,48363.9,2317.5,0,3.80069e+08,5.49736e+07,0,-1.44122e+08,4.90978e+07,0
