t,x1,y1,z1,x2,y2,z2,x3,y3,z3
0,0.0010789,7.70951e-09,0,3.84e+08,8231.89,0,6.37068e+06,89405.5,0
805.469,11.0058,0.00794311,0,3.83999e+08,831420,0,3.82736e+06,7.96489e+06,0
1610.94,43.5884,0.0626058,0,3.83996e+08,1.6546e+06,0,-603850,1.31184e+07,0
2416.41,97.7488,0.210245,0,3.83992e+08,2.47778e+06,0,-5.05756e+06,1.67006e+07,0
3221.87,173.487,0.497117,0,3.83986e+08,3.30095e+06,0,-9.27791e+06,1.94402e+07,0
4027.34,270.801,0.969477,0,3.83978e+08,4.1241e+06,0,-1.32599e+07,2.16651e+07,0
4832.81,389.693,1.67358,0,3.83968e+08,4.94723e+06,0,-1.70325e+07,2.35426e+07,0
5638.28,530.161,2.65568,0,3.83957e+08,5.77034e+06,0,-2.06251e+07,2.51691e+07,0
6443.75,692.204,3.96203,0,3.83944e+08,6.59342e+06,0,-2.40625e+07,2.66052e+07,0
7249.22,875.822,5.63889,0,3.83929e+08,7.41647e+06,0,-2.73647e+07,2.78913e+07,0
8054.69,1081.01,7.73249,0,3.83912e+08,8.23949e+06,0,-3.05481e+07,2.90559e+07,0
8860.16,1307.78,10.2891,0,3.83894e+08,9.06247e+06,0,-3.36259e+07,3.01198e+07,0
9665.62,1556.12,13.3549,0,3.83874e+08,9.88541e+06,0,-3.66089e+07,3.10988e+07,0
10471.1,1826.02,16.9763,0,3.83852e+08,1.07083e+07,0,-3.95064e+07,3.2005e+07,0
11276.6,2117.5,21.1993,0,3.83828e+08,1.15312e+07,0,-4.23261e+07,3.28481e+07,0
12082,2430.55,26.0704,0,3.83802e+08,1.23539e+07,0,-4.50746e+07,3.36358e+07,0
12887.5,2765.16,31.6356,0,3.83775e+08,1.31767e+07,0,-4.77574e+07,3.43745e+07,0
13693,3121.34,37.9413,0,3.83746e+08,1.39994e+07,0,-5.03795e+07,3.50696e+07,0
14498.4,3499.08,45.0336,0,3.83716e+08,1.4822e+07,0,-5.29453e+07,3.57254e+07,0
15303.9,3898.38,52.9589,0,3.83683e+08,1.56445e+07,0,-5.54584e+07,3.63457e+07,0
16109.4,4319.25,61.7632,0,3.83649e+08,1.6467e+07,0,-5.79224e+07,3.69337e+07,0
16914.8,4761.67,71.4929,0,3.83613e+08,1.72894e+07,0,-6.03401e+07,3.74922e+07,0
17720.3,5225.65,82.1941,0,3.83575e+08,1.81117e+07,0,-6.27142e+07,3.80237e+07,0
18525.8,5711.18,93.9131,0,3.83536e+08,1.89339e+07,0,-6.50472e+07,3.85302e+07,0
19331.2,6218.27,106.696,0,3.83495e+08,1.97561e+07,0,-6.73412e+07,3.90137e+07,0
