t,x1,y1,z1
0,6.37068e+06,89405.6,0
805.469,3.82735e+06,7.96489e+06,0
1610.94,-603898,1.31184e+07,0
2416.41,-5.05767e+06,1.67006e+07,0
3221.88,-9.27809e+06,1.94403e+07,0
4027.34,-1.32602e+07,2.16651e+07,0
4832.81,-1.70329e+07,2.35426e+07,0
5638.28,-2.06256e+07,2.51691e+07,0
6443.75,-2.40632e+07,2.66052e+07,0
7249.22,-2.73656e+07,2.78913e+07,0
8054.69,-3.05492e+07,2.90559e+07,0
8860.16,-3.36272e+07,3.01198e+07,0
9665.63,-3.66105e+07,3.10988e+07,0
10471.1,-3.95083e+07,3.2005e+07,0
11276.6,-4.23283e+07,3.2848e+07,0
12082,-4.5077e+07,3.36358e+07,0
12887.5,-4.77602e+07,3.43745e+07,0
13693,-5.03827e+07,3.50695e+07,0
14498.4,-5.29488e+07,3.57253e+07,0
15303.9,-5.54624e+07,3.63456e+07,0
16109.4,-5.79267e+07,3.69336e+07,0
16914.8,-6.03448e+07,3.74922e+07,0
17720.3,-6.27194e+07,3.80236e+07,0
18525.8,-6.50529e+07,3.85301e+07,0
19331.3,-6.73475e+07,3.90136e+07,0
20136.7,-6.9605e+07,3.94756e+07,0
20942.2,-7.18275e+07,3.99177e+07,0
21747.7,-7.40165e+07,4.03412e+07,0
22553.1,-7.61735e+07,4.07472e+07,0
23358.6,-7.83e+07,4.11369e+07,0
24164.1,-8.03972e+07,4.15112e+07,0
24969.5,-8.24663e+07,4.1871e+07,0
25775,-8.45085e+07,4.22171e+07,0
26580.5,-8.65247e+07,4.25503e+07,0
27385.9,-8.8516e+07,4.28712e+07,0
28191.4,-9.04833e+07,4.31804e+07,0
28996.9,-9.24273e+07,4.34785e+07,0
29802.4,-9.43489e+07,4.37661e+07,0
30607.8,-9.62488e+07,4.40436e+07,0
31413.3,-9.81277e+07,4.43115e+07,0
32218.8,-9.99863e+07,4.45702e+07,0
33024.2,-1.01825e+08,4.48202e+07,0
33829.7,-1.03645e+08,4.50617e+07,0
34635.2,-1.05446e+08,4.52951e+07,0
35440.6,-1.07229e+08,4.55208e+07,0
36246.1,-1.08995e+08,4.5739e+07,0
37051.6,-1.10744e+08,4.595e+07,0
37857,-1.12476e+08,4.61542e+07,0
38662.5,-1.14191e+08,4.63517e+07,0
39468,-1.15892e+08,4.65428e+07,0
40273.4,-1.17576e+08,4.67278e+07,0
41078.9,-1.19246e+08,4.69067e+07,0
41884.4,-1.20901e+08,4.70799e+07,0
42689.9,-1.22542e+08,4.72475e+07,0
43495.3,-1.24168e+08,4.74097e+07,0
44300.8,-1.25781e+08,4.75667e+07,0
45106.3,-1.27381e+08,4.77187e+07,0
45911.7,-1.28968e+08,4.78657e+07,0
46717.2,-1.30541e+08,4.80079e+07,0
47522.7,-1.32103e+08,4.81456e+07,0
48328.1,-1.33652e+08,4.82788e+07,0
49133.6,-1.35189e+08,4.84076e+07,0
49939.1,-1.36714e+08,4.85321e+07,0
50744.5,-1.38227e+08,4.86526e+07,0
51550,-1.3973e+08,4.87691e+07,0
52355.5,-1.41221e+08,4.88816e+07,0
53161,-1.42701e+08,4.89904e+07,0
53966.4,-1.4417e+08,4.90955e+07,0
54771.9,-1.45629e+08,4.9197e+07,0
55577.4,-1.47078e+08,4.9295e+07,0
56382.8,-1.48516e+08,4.93896e+07,0
57188.3,-1.49944e+08,4.94808e+07,0
57993.8,-1.51363e+08,4.95688e+07,0
58799.2,-1.52772e+08,4.96536e+07,0
59604.7,-1.54171e+08,4.97353e+07,0
60410.2,-1.55561e+08,4.98139e+07,0
