t,x1,y1,z1
0,1.496e+11,2.39869e+06,0
8054.69,1.496e+11,2.42267e+08,0
16109.4,1.49599e+11,4.82135e+08,0
24164.1,1.49598e+11,7.22002e+08,0
32218.7,1.49597e+11,9.61866e+08,0
40273.4,1.49595e+11,1.20173e+09,0
48328.1,1.49593e+11,1.44159e+09,0
56382.8,1.49591e+11,1.68144e+09,0
64437.5,1.49588e+11,1.92129e+09,0
72492.2,1.49584e+11,2.16114e+09,0
80546.9,1.49581e+11,2.40098e+09,0
88601.6,1.49577e+11,2.64082e+09,0
96656.2,1.49572e+11,2.88064e+09,0
104711,1.49567e+11,3.12046e+09,0
112766,1.49562e+11,3.36028e+09,0
120820,1.49557e+11,3.60008e+09,0
128875,1.49551e+11,3.83987e+09,0
136930,1.49544e+11,4.07966e+09,0
144984,1.49538e+11,4.31943e+09,0
153039,1.4953e+11,4.55919e+09,0
161094,1.49523e+11,4.79895e+09,0
169148,1.49515e+11,5.03868e+09,0
177203,1.49507e+11,5.27841e+09,0
185258,1.49498e+11,5.51812e+09,0
193312,1.49489e+11,5.75782e+09,0
201367,1.4948e+11,5.9975e+09,0
209422,1.4947e+11,6.23717e+09,0
217477,1.4946e+11,6.47682e+09,0
225531,1.49449e+11,6.71646e+09,0
233586,1.49438e+11,6.95608e+09,0
241641,1.49427e+11,7.19568e+09,0
249695,1.49415e+11,7.43526e+09,0
257750,1.49403e+11,7.67482e+09,0
265805,1.4939e+11,7.91436e+09,0
273859,1.49377e+11,8.15388e+09,0
281914,1.49364e+11,8.39339e+09,0
289969,1.49351e+11,8.63287e+09,0
298023,1.49337e+11,8.87232e+09,0
306078,1.49322e+11,9.11176e+09,0
314133,1.49307e+11,9.35117e+09,0
322187,1.49292e+11,9.59056e+09,0
330242,1.49277e+11,9.82992e+09,0
338297,1.49261e+11,1.00693e+10,0
346352,1.49244e+11,1.03086e+10,0
354406,1.49227e+11,1.05479e+10,0
362461,1.4921e+11,1.07871e+10,0
370516,1.49193e+11,1.10263e+10,0
378570,1.49175e+11,1.12655e+10,0
386625,1.49157e+11,1.15047e+10,0
394680,1.49138e+11,1.17439e+10,0
402734,1.49119e+11,1.1983e+10,0
410789,1.491e+11,1.22221e+10,0
418844,1.4908e+11,1.24611e+10,0
426898,1.4906e+11,1.27001e+10,0
434953,1.49039e+11,1.29391e+10,0
443008,1.49018e+11,1.31781e+10,0
451062,1.48997e+11,1.3417e+10,0
459117,1.48975e+11,1.36559e+10,0
467172,1.48953e+11,1.38947e+10,0
475227,1.4893e+11,1.41335e+10,0
483281,1.48908e+11,1.43723e+10,0
491336,1.48884e+11,1.4611e+10,0
499391,1.48861e+11,1.48497e+10,0
507445,1.48837e+11,1.50884e+10,0
515500,1.48812e+11,1.5327e+10,0
