t,x1,y1,z1
0,6.33925e+06,892586,0
8054.69,-3.08305e+07,2.91559e+07,0
16109.4,-5.81465e+07,3.6986e+07,0
24164.1,-8.05849e+07,4.15459e+07,0
32218.7,-1.00153e+08,4.45955e+07,0
40273.4,-1.17727e+08,4.67474e+07,0
48328.1,-1.3379e+08,4.82948e+07,0
56382.8,-1.48644e+08,4.94033e+07,0
64437.5,-1.62493e+08,5.01765e+07,0
72492.2,-1.75487e+08,5.06841e+07,0
80546.9,-1.87734e+08,5.09754e+07,0
88601.6,-1.99322e+08,5.10869e+07,0
96656.2,-2.10317e+08,5.1046e+07,0
104711,-2.20777e+08,5.08744e+07,0
112766,-2.30746e+08,5.05892e+07,0
120820,-2.40263e+08,5.02044e+07,0
128875,-2.49361e+08,4.97315e+07,0
136930,-2.58068e+08,4.918e+07,0
144984,-2.66408e+08,4.85582e+07,0
153039,-2.74401e+08,4.78728e+07,0
161094,-2.82068e+08,4.71299e+07,0
169148,-2.89424e+08,4.63347e+07,0
177203,-2.96485e+08,4.54916e+07,0
185258,-3.03262e+08,4.46047e+07,0
193312,-3.09769e+08,4.36775e+07,0
201367,-3.16016e+08,4.27132e+07,0
209422,-3.22012e+08,4.17146e+07,0
217477,-3.27766e+08,4.06843e+07,0
225531,-3.33287e+08,3.96245e+07,0
233586,-3.38582e+08,3.85374e+07,0
241641,-3.43657e+08,3.74249e+07,0
249695,-3.48518e+08,3.62887e+07,0
257750,-3.53172e+08,3.51304e+07,0
265805,-3.57624e+08,3.39516e+07,0
273859,-3.61877e+08,3.27537e+07,0
281914,-3.65938e+08,3.15378e+07,0
289969,-3.69809e+08,3.03052e+07,0
298023,-3.73495e+08,2.9057e+07,0
306078,-3.76999e+08,2.77943e+07,0
314133,-3.80324e+08,2.6518e+07,0
322187,-3.83474e+08,2.52291e+07,0
330242,-3.86451e+08,2.39284e+07,0
338297,-3.89258e+08,2.26169e+07,0
346352,-3.91897e+08,2.12951e+07,0
354406,-3.94371e+08,1.9964e+07,0
362461,-3.96681e+08,1.86243e+07,0
370516,-3.98829e+08,1.72766e+07,0
378570,-4.00817e+08,1.59216e+07,0
386625,-4.02646e+08,1.45599e+07,0
394680,-4.04318e+08,1.31923e+07,0
402734,-4.05835e+08,1.18191e+07,0
410789,-4.07196e+08,1.04412e+07,0
418844,-4.08404e+08,9.05891e+06,0
426898,-4.09459e+08,7.67293e+06,0
434953,-4.10362e+08,6.28378e+06,0
443008,-4.11114e+08,4.89198e+06,0
451062,-4.11714e+08,3.49807e+06,0
459117,-4.12164e+08,2.10257e+06,0
467172,-4.12464e+08,706002,0
475227,-4.12614e+08,-691128,0
483281,-4.12615e+08,-2.0883e+06,0
491336,-4.12465e+08,-3.48501e+06,0
499391,-4.12166e+08,-4.88074e+06,0
507445,-4.11717e+08,-6.27496e+06,0
515500,-4.11117e+08,-7.66717e+06,0
523555,-4.10366e+08,-9.05683e+06,0
531609,-4.09464e+08,-1.04434e+07,0
539664,-4.0841e+08,-1.18264e+07,0
547719,-4.07203e+08,-1.32051e+07,0
555773,-4.05843e+08,-1.45792e+07,0
563828,-4.04328e+08,-1.59479e+07,0
571883,-4.02657e+08,-1.73107e+07,0
579937,-4.00829e+08,-1.8667e+07,0
587992,-3.98842e+08,-2.00161e+07,0
596047,-3.96696e+08,-2.13574e+07,0
604101,-3.94388e+08,-2.26901e+07,0
612156,-3.91917e+08,-2.40137e+07,0
620211,-3.89281e+08,-2.53273e+07,0
628266,-3.86476e+08,-2.66302e+07,0
636320,-3.83502e+08,-2.79216e+07,0
644375,-3.80355e+08,-2.92005e+07,0
652430,-3.77033e+08,-3.04661e+07,0
660484,-3.73533e+08,-3.17175e+07,0
668539,-3.69851e+08,-3.29536e+07,0
676594,-3.65985e+08,-3.41734e+07,0
684648,-3.6193e+08,-3.53756e+07,0
692703,-3.57681e+08,-3.65591e+07,0
700758,-3.53236e+08,-3.77226e+07,0
708812,-3.48589e+08,-3.88645e+07,0
716867,-3.43734e+08,-3.99835e+07,0
724922,-3.38667e+08,-4.10777e+07,0
732976,-3.33381e+08,-4.21455e+07,0
741031,-3.27869e+08,-4.31848e+07,0
749086,-3.22125e+08,-4.41934e+07,0
757141,-3.1614e+08,-4.51691e+07,0
765195,-3.09905e+08,-4.61091e+07,0
773250,-3.03411e+08,-4.70106e+07,0
781305,-2.96648e+08,-4.78703e+07,0
789359,-2.89603e+08,-4.86845e+07,0
797414,-2.82265e+08,-4.94492e+07,0
805469,-2.74617e+08,-5.01598e+07,0
813523,-2.66644e+08,-5.08109e+07,0
821578,-2.58327e+08,-5.13964e+07,0
829633,-2.49646e+08,-5.19093e+07,0
837687,-2.40576e+08,-5.23412e+07,0
845742,-2.31091e+08,-5.26826e+07,0
853797,-2.21157e+08,-5.29215e+07,0
861851,-2.10738e+08,-5.3044e+07,0
869906,-1.99788e+08,-5.30326e+07,0
877961,-1.88253e+08,-5.28655e+07,0
886016,-1.76067e+08,-5.25151e+07,0
894070,-1.63145e+08,-5.19447e+07,0
902125,-1.49381e+08,-5.11052e+07,0
910180,-1.34632e+08,-4.99274e+07,0
918234,-1.187e+08,-4.83089e+07,0
926289,-1.01298e+08,-4.60877e+07,0
934344,-8.19689e+07,-4.29809e+07,0
942398,-5.9901e+07,-3.84107e+07,0
950453,-3.32983e+07,-3.07934e+07,0
958508,3.69512e+06,-8.65167e+06,0
966562,-2.65401e+07,2.78711e+07,0
974617,-5.47931e+07,3.64311e+07,0
982672,-7.7725e+07,4.12221e+07,0
990726,-9.76202e+07,4.43656e+07,0
998781,-1.15436e+08,4.65526e+07,0
1.00684e+06,-1.31689e+08,4.81043e+07,0
1.01489e+06,-1.46699e+08,4.91991e+07,0
1.02295e+06,-1.60681e+08,4.99472e+07,0
1.031e+06,-1.73787e+08,5.0422e+07,0
1.03905e+06,-1.86134e+08,5.06753e+07,0
1.04711e+06,-1.9781e+08,5.07449e+07,0
1.05516e+06,-2.08885e+08,5.06594e+07,0
1.06322e+06,-2.19416e+08,5.04413e+07,0
1.07127e+06,-2.29451e+08,5.0108e+07,0
1.07933e+06,-2.39027e+08,4.96741e+07,0
1.08738e+06,-2.4818e+08,4.91512e+07,0
1.09544e+06,-2.56937e+08,4.85492e+07,0
1.10349e+06,-2.65324e+08,4.78764e+07,0
1.11155e+06,-2.73361e+08,4.71397e+07,0
1.1196e+06,-2.81068e+08,4.63454e+07,0
1.12766e+06,-2.88462e+08,4.54985e+07,0
1.13571e+06,-2.95557e+08,4.46038e+07,0
1.14377e+06,-3.02368e+08,4.36652e+07,0
1.15182e+06,-3.08905e+08,4.26864e+07,0
1.15987e+06,-3.15181e+08,4.16706e+07,0
1.16793e+06,-3.21204e+08,4.06205e+07,0
1.17598e+06,-3.26984e+08,3.95388e+07,0
1.18404e+06,-3.32528e+08,3.84279e+07,0
1.19209e+06,-3.37845e+08,3.72897e+07,0
1.20015e+06,-3.42941e+08,3.61264e+07,0
1.2082e+06,-3.47822e+08,3.49395e+07,0
1.21626e+06,-3.52493e+08,3.37308e+07,0
1.22431e+06,-3.56962e+08,3.25017e+07,0
1.23237e+06,-3.61231e+08,3.12536e+07,0
1.24042e+06,-3.65306e+08,2.99879e+07,0
1.24848e+06,-3.69191e+08,2.87056e+07,0
1.25653e+06,-3.72889e+08,2.7408e+07,0
1.26459e+06,-3.76405e+08,2.60961e+07,0
1.27264e+06,-3.79741e+08,2.47708e+07,0
1.2807e+06,-3.82901e+08,2.34331e+07,0
1.28875e+06,-3.85887e+08,2.2084e+07,0
1.2968e+06,-3.88702e+08,2.07241e+07,0
1.30486e+06,-3.91348e+08,1.93544e+07,0
1.31291e+06,-3.93828e+08,1.79756e+07,0
1.32097e+06,-3.96143e+08,1.65884e+07,0
1.32902e+06,-3.98296e+08,1.51935e+07,0
1.33708e+06,-4.00288e+08,1.37915e+07,0
1.34513e+06,-4.0212e+08,1.23833e+07,0
1.35319e+06,-4.03795e+08,1.09692e+07,0
1.36124e+06,-4.05313e+08,9.55005e+06,0
