t,x1,y1,z1
0,-3.77629e+08,81173.6,0
805.469,-3.80172e+08,7.13347e+06,0
1610.94,-3.846e+08,1.14638e+07,0
2416.41,-3.8905e+08,1.42228e+07,0
3221.87,-3.93264e+08,1.61393e+07,0
4027.34,-3.97238e+08,1.7541e+07,0
4832.81,-4.01001e+08,1.85953e+07,0
5638.28,-4.04582e+08,1.93988e+07,0
6443.75,-4.08006e+08,2.00118e+07,0
7249.22,-4.11294e+08,2.04749e+07,0
8054.69,-4.1446e+08,2.08164e+07,0
8860.16,-4.1752e+08,2.10574e+07,0
9665.62,-4.20482e+08,2.12134e+07,0
10471.1,-4.23358e+08,2.12967e+07,0
11276.6,-4.26154e+08,2.13169e+07,0
12082,-4.28877e+08,2.12818e+07,0
12887.5,-4.31533e+08,2.11978e+07,0
13693,-4.34126e+08,2.10702e+07,0
14498.4,-4.36661e+08,2.09034e+07,0
15303.9,-4.39142e+08,2.07011e+07,0
16109.4,-4.41571e+08,2.04667e+07,0
16914.8,-4.43953e+08,2.02028e+07,0
17720.3,-4.46289e+08,1.9912e+07,0
18525.8,-4.48583e+08,1.95963e+07,0
19331.2,-4.50836e+08,1.92576e+07,0
20136.7,-4.5305e+08,1.88976e+07,0
20942.2,-4.55227e+08,1.85177e+07,0
21747.7,-4.57369e+08,1.81193e+07,0
22553.1,-4.59477e+08,1.77036e+07,0
23358.6,-4.61553e+08,1.72717e+07,0
24164.1,-4.63598e+08,1.68244e+07,0
24969.5,-4.65613e+08,1.63628e+07,0
25775,-4.67599e+08,1.58877e+07,0
26580.5,-4.69558e+08,1.53996e+07,0
27385.9,-4.7149e+08,1.48995e+07,0
28191.4,-4.73396e+08,1.43877e+07,0
28996.9,-4.75277e+08,1.38651e+07,0
29802.3,-4.77134e+08,1.3332e+07,0
30607.8,-4.78967e+08,1.2789e+07,0
31413.3,-4.80778e+08,1.22365e+07,0
32218.7,-4.82566e+08,1.1675e+07,0
33024.2,-4.84333e+08,1.11049e+07,0
33829.7,-4.86079e+08,1.05265e+07,0
34635.2,-4.87805e+08,9.94017e+06,0
35440.6,-4.89511e+08,9.34626e+06,0
36246.1,-4.91198e+08,8.74506e+06,0
37051.6,-4.92866e+08,8.13687e+06,0
37857,-4.94516e+08,7.52196e+06,0
38662.5,-4.96147e+08,6.90058e+06,0
39468,-4.97761e+08,6.27297e+06,0
40273.4,-4.99358e+08,5.63937e+06,0
41078.9,-5.00938e+08,4.99999e+06,0
41884.4,-5.02502e+08,4.35503e+06,0
42689.8,-5.0405e+08,3.7047e+06,0
43495.3,-5.05582e+08,3.04917e+06,0
44300.8,-5.07098e+08,2.38862e+06,0
45106.2,-5.086e+08,1.72321e+06,0
45911.7,-5.10086e+08,1.05311e+06,0
46717.2,-5.11558e+08,378476,0
47522.7,-5.13016e+08,-300559,0
48328.1,-5.14459e+08,-983853,0
49133.6,-5.15889e+08,-1.67127e+06,0
49939.1,-5.17305e+08,-2.36269e+06,0
50744.5,-5.18708e+08,-3.05799e+06,0
51550,-5.20098e+08,-3.75705e+06,0
52355.5,-5.21475e+08,-4.45976e+06,0
53160.9,-5.22839e+08,-5.16602e+06,0
53966.4,-5.24191e+08,-5.87571e+06,0
54771.9,-5.2553e+08,-6.58875e+06,0
55577.3,-5.26858e+08,-7.30504e+06,0
56382.8,-5.28173e+08,-8.02449e+06,0
57188.3,-5.29477e+08,-8.747e+06,0
57993.7,-5.30769e+08,-9.4725e+06,0
58799.2,-5.32049e+08,-1.02009e+07,0
59604.7,-5.33319e+08,-1.09321e+07,0
60410.1,-5.34577e+08,-1.16661e+07,0
61215.6,-5.35824e+08,-1.24027e+07,0
62021.1,-5.37061e+08,-1.3142e+07,0
62826.6,-5.38286e+08,-1.38838e+07,0
63632,-5.39501e+08,-1.4628e+07,0
64437.5,-5.40706e+08,-1.53747e+07,0
65243,-5.41901e+08,-1.61237e+07,0
66048.4,-5.43085e+08,-1.6875e+07,0
66853.9,-5.44259e+08,-1.76285e+07,0
