t,x1,y1,z1
0,6.33915e+06,894070,0
8054.69,-3.08249e+07,2.93178e+07,0
16109.4,-5.82112e+07,3.73555e+07,0
24164.1,-8.07669e+07,4.21269e+07,0
32218.7,-1.00486e+08,4.53886e+07,0
40273.4,-1.18238e+08,4.77523e+07,0
48328.1,-1.34502e+08,4.95106e+07,0
56382.8,-1.49578e+08,5.08291e+07,0
64437.5,-1.63669e+08,5.18115e+07,0
72492.2,-1.76922e+08,5.25272e+07,0
80546.9,-1.89445e+08,5.30256e+07,0
88601.6,-2.01325e+08,5.33431e+07,0
96656.2,-2.12629e+08,5.35072e+07,0
104711,-2.23411e+08,5.35395e+07,0
112766,-2.33717e+08,5.34572e+07,0
120820,-2.43585e+08,5.32742e+07,0
128875,-2.53048e+08,5.3002e+07,0
136930,-2.62133e+08,5.26502e+07,0
144984,-2.70864e+08,5.22269e+07,0
153039,-2.79264e+08,5.17389e+07,0
161094,-2.87349e+08,5.11923e+07,0
169148,-2.95136e+08,5.05921e+07,0
177203,-3.02641e+08,4.9943e+07,0
185258,-3.09876e+08,4.92489e+07,0
193312,-3.16853e+08,4.85133e+07,0
201367,-3.23583e+08,4.77394e+07,0
209422,-3.30075e+08,4.693e+07,0
217477,-3.36338e+08,4.60875e+07,0
225531,-3.42381e+08,4.52144e+07,0
233586,-3.48211e+08,4.43126e+07,0
241641,-3.53834e+08,4.3384e+07,0
249695,-3.59257e+08,4.24305e+07,0
257750,-3.64485e+08,4.14535e+07,0
265805,-3.69525e+08,4.04545e+07,0
273859,-3.7438e+08,3.94349e+07,0
281914,-3.79056e+08,3.83959e+07,0
289969,-3.83556e+08,3.73387e+07,0
298023,-3.87885e+08,3.62644e+07,0
306078,-3.92046e+08,3.51739e+07,0
314133,-3.96043e+08,3.40682e+07,0
322187,-3.99879e+08,3.29482e+07,0
330242,-4.03557e+08,3.18147e+07,0
338297,-4.07079e+08,3.06686e+07,0
346352,-4.10449e+08,2.95104e+07,0
354406,-4.13669e+08,2.83411e+07,0
362461,-4.1674e+08,2.71611e+07,0
370516,-4.19666e+08,2.59712e+07,0
378570,-4.22448e+08,2.4772e+07,0
386625,-4.25088e+08,2.3564e+07,0
394680,-4.27588e+08,2.23478e+07,0
402734,-4.29949e+08,2.11239e+07,0
410789,-4.32172e+08,1.98929e+07,0
418844,-4.3426e+08,1.86551e+07,0
426898,-4.36213e+08,1.74112e+07,0
434953,-4.38033e+08,1.61615e+07,0
443008,-4.39721e+08,1.49065e+07,0
451062,-4.41278e+08,1.36467e+07,0
459117,-4.42704e+08,1.23824e+07,0
467172,-4.44e+08,1.11141e+07,0
475227,-4.45168e+08,9.84211e+06,0
483281,-4.46207e+08,8.56693e+06,0
491336,-4.47119e+08,7.2889e+06,0
499391,-4.47904e+08,6.00841e+06,0
507445,-4.48563e+08,4.72583e+06,0
515500,-4.49095e+08,3.44154e+06,0
523555,-4.49501e+08,2.1559e+06,0
531609,-4.49782e+08,869280,0
539664,-4.49937e+08,-417957,0
547719,-4.49966e+08,-1.70545e+06,0
555773,-4.4987e+08,-2.99282e+06,0
563828,-4.49649e+08,-4.27973e+06,0
571883,-4.49302e+08,-5.56579e+06,0
579937,-4.48829e+08,-6.85065e+06,0
587992,-4.4823e+08,-8.13393e+06,0
596047,-4.47505e+08,-9.41526e+06,0
604101,-4.46653e+08,-1.06943e+07,0
612156,-4.45673e+08,-1.19705e+07,0
620211,-4.44566e+08,-1.32437e+07,0
628266,-4.43331e+08,-1.45134e+07,0
636320,-4.41966e+08,-1.57792e+07,0
644375,-4.40472e+08,-1.70406e+07,0
652430,-4.38847e+08,-1.82973e+07,0
660484,-4.3709e+08,-1.95488e+07,0
668539,-4.352e+08,-2.07946e+07,0
676594,-4.33176e+08,-2.20343e+07,0
684648,-4.31018e+08,-2.32675e+07,0
692703,-4.28723e+08,-2.44935e+07,0
700758,-4.2629e+08,-2.5712e+07,0
708812,-4.23717e+08,-2.69223e+07,0
716867,-4.21004e+08,-2.81239e+07,0
724922,-4.18148e+08,-2.93162e+07,0
732976,-4.15147e+08,-3.04986e+07,0
741031,-4.12e+08,-3.16704e+07,0
749086,-4.08703e+08,-3.28311e+07,0
757141,-4.05255e+08,-3.39798e+07,0
765195,-4.01654e+08,-3.51158e+07,0
773250,-3.97896e+08,-3.62383e+07,0
781305,-3.93979e+08,-3.73465e+07,0
789359,-3.89899e+08,-3.84395e+07,0
797414,-3.85654e+08,-3.95164e+07,0
805469,-3.81239e+08,-4.0576e+07,0
813523,-3.76652e+08,-4.16175e+07,0
821578,-3.71887e+08,-4.26395e+07,0
829633,-3.66941e+08,-4.36408e+07,0
837687,-3.61808e+08,-4.46201e+07,0
845742,-3.56485e+08,-4.5576e+07,0
853797,-3.50964e+08,-4.65067e+07,0
861851,-3.45241e+08,-4.74108e+07,0
869906,-3.39308e+08,-4.82861e+07,0
877961,-3.3316e+08,-4.91308e+07,0
886016,-3.26787e+08,-4.99425e+07,0
